model_no,type,color,psu,side_panel,external_volume,internal_35_bays
10025,ATX Mid Tower,Black,ATX,Tinted Tempered Glass,48.6,2
10026,ATX Mid Tower,Black,ATX,Tempered Glass,47,1
10027,ATX Mid Tower,White,ATX,Tempered Glass,66.9,2
