model_no,type,speed,kit_size,size_per_stick,first_word_latency,cas_latency,color
61608,,3600,1,8,10,18,Blue / Black
61609,,4133,1,8,9.194,19,Blue / Black
61610,,2666,1,16,12.003,16,Blue / Black
61611,,3000,1,16,10.667,16,Blue / Black
61612,,3000,1,16,10.667,16,Blue / Black
61613,,3600,1,16,10,18,Blue / Black
61614,,4133,1,16,9.194,19,Blue / Black
61615,,3000,2,16,10.667,16,Blue / Black
61616,,5600,1,8,14.286,40,Black
61617,,5600,1,8,14.286,40,White
61618,,5600,1,16,14.286,40,Black
61619,,5600,2,8,14.286,40,Black
61620,,5600,1,32,14.286,40,Black
61621,,5600,1,32,14.286,40,White
61622,,2133,1,4,14.065,15,
61623,,2133,1,4,14.065,15,
61624,,2400,1,4,14.167,17,
61625,,2400,1,4,14.167,17,
61626,,2666,1,4,14.254,19,
61627,,2133,1,8,14.065,15,
61628,,2133,1,8,14.065,15,
61629,,2133,2,4,14.065,15,
61630,,2133,1,8,14.065,15,
61631,,2133,2,4,14.065,15,
61632,,2400,1,8,14.167,17,
61633,,2400,1,8,14.167,17,
61634,,2400,2,4,14.167,17,
61635,,2400,2,4,14.167,17,
61636,,2666,1,8,14.254,19,
61637,,2666,2,4,14.254,19,
61638,,3200,1,8,13.75,22,
61639,,2133,1,16,14.065,15,
61640,,2133,1,16,14.065,15,
61641,,2133,2,8,14.065,15,
61642,,2133,4,4,14.065,15,
61643,,2133,1,16,14.065,15,
61644,,2133,2,8,14.065,15,
61645,,2400,1,16,14.167,17,
61646,,2400,2,8,14.167,17,
61647,,2400,2,8,14.167,17,
61648,,2400,1,16,14.167,17,
61649,,2666,1,16,14.254,19,
61650,,2666,1,16,14.254,19,
61651,,2666,1,16,14.254,19,
61652,,3200,1,16,13.75,22,
61653,,3200,2,8,13.75,22,
61654,,3200,1,16,13.75,22,
61655,,2133,2,16,14.065,15,
61656,,2133,2,16,14.065,15,
61657,,2400,2,16,14.167,17,
61658,,2400,2,16,14.167,17,
61659,,2400,2,16,14.167,17,
61660,,2666,2,16,14.254,19,
61661,,2666,1,32,14.254,19,
61662,,2666,1,32,14.254,19,
61663,,2666,2,16,14.254,19,
61664,,2666,2,16,14.254,19,
61665,,2666,1,32,14.254,19,
61666,,3200,2,16,13.75,22,
61667,,3200,2,16,13.75,22,
61668,,3200,1,32,13.75,22,
61669,,3200,1,32,13.75,22,
61670,,3200,2,16,13.75,22,
61671,,2666,2,32,14.254,19,
61672,,2666,2,32,14.254,19,
61673,,2666,2,32,14.254,19,
61674,,3200,2,32,13.75,22,
61675,,4800,1,8,16.667,40,
61676,,4800,1,16,16.667,40,
61677,,4800,2,8,16.667,40,
61678,,4800,1,32,16.667,40,
61679,,4800,2,32,16.667,40,
61680,,2133,1,4,14.065,15,
61681,,2133,1,4,14.065,15,
61682,,2133,1,4,14.065,15,
61683,,2400,1,4,14.167,17,
61684,,2666,1,4,14.254,19,
61685,,2666,1,4,14.254,19,
61686,,2400,1,4,14.167,17,
61687,,2400,1,4,14.167,17,
61688,,2666,1,4,14.254,19,
61689,,2133,1,8,14.065,15,
61690,,2133,1,8,14.065,15,
61691,,2133,1,8,14.065,15,
61692,,2133,2,4,14.065,15,
61693,,2133,2,4,14.065,15,
61694,,2133,1,8,14.065,15,
61695,,2133,2,4,14.065,15,
61696,,2400,1,8,14.167,17,
61697,,2400,1,8,14.167,17,
61698,,2400,2,4,14.167,17,
61699,,2400,2,4,14.167,17,
61700,,2400,1,8,14.167,17,
61701,,2400,2,4,14.167,17,
61702,,2666,1,8,14.254,19,
61703,,2666,2,4,14.254,19,
61704,,2666,1,8,14.254,19,
61705,,2666,2,4,14.254,19,
61706,,3200,1,8,13.75,22,
61707,,3200,1,8,13.75,22,
61708,,2133,1,16,14.065,15,
61709,,2133,1,16,14.065,15,
61710,,2133,2,8,14.065,15,
61711,,2133,2,8,14.065,15,
61712,,2133,1,16,14.065,15,
61713,,2133,2,8,14.065,15,
61714,,2400,1,16,14.167,17,
61715,,2400,1,16,14.167,17,
61716,,2400,2,8,14.167,17,
61717,,2400,1,16,14.167,17,
61718,,2400,1,16,14.167,17,
61719,,2400,2,8,14.167,17,
61720,,2666,1,16,14.254,19,
61721,,2666,1,16,14.254,19,
61722,,2666,1,16,14.254,19,
61723,,2666,1,16,14.254,19,
61724,,2666,2,8,14.254,19,
61725,,3200,1,16,13.75,22,
61726,,3200,1,16,13.75,22,
61727,,3200,2,8,13.75,22,
61728,,3200,2,8,13.75,22,
61729,,3200,1,16,13.75,22,
61730,,3200,1,16,13.75,22,
61731,,2133,2,16,14.065,15,
61732,,2133,2,16,14.065,15,
61733,,2133,2,16,14.065,15,
61734,,2400,2,16,14.167,17,
61735,,2400,2,16,14.167,17,
61736,,2400,2,16,14.167,17,
61737,,2666,2,16,14.254,19,
61738,,2666,1,32,14.254,19,
61739,,2666,1,32,14.254,19,
61740,,2666,2,16,14.254,19,
61741,,3200,2,16,13.75,22,
61742,,3200,2,16,13.75,22,
61743,,3200,1,32,13.75,22,
61744,,3200,2,16,13.75,22,
61745,,3200,2,16,13.75,22,
61746,,3200,1,32,13.75,22,
61747,,2666,2,32,14.254,19,
61748,,2666,2,32,14.254,19,
61749,,3200,2,32,13.75,22,
61750,,3200,2,32,13.75,22,
61751,,5200,1,16,14.615,38,Black
61752,,5200,1,8,15.385,40,Black
61753,,5600,1,16,14.286,40,Black
61754,,4800,1,16,15,36,Red
61755,,5200,1,16,14.615,38,Red
61756,,5600,1,16,12.857,36,Red
61757,,5600,1,16,14.286,40,Red
61758,,3000,2,16,10.667,16,Black
61759,,3000,2,16,10.667,16,White
61760,,3000,2,8,10.667,16,White
61761,,3200,2,16,10,16,White
61762,,3200,2,32,10,16,Black
61763,,3600,2,8,10,18,Black
61764,,3600,2,16,10,18,Black
61765,,4000,2,8,9,18,Black
61766,,4000,2,16,9,18,Black
61767,,4000,2,16,9,18,White
61768,,3600,2,8,10,18,Black / Silver
61769,,3600,2,16,10,18,White / Silver
