model_no,type,speed,kit_size,size_per_stick,first_word_latency,cas_latency,color
50001,,3200,2,8,10,16,Black / Yellow
50002,,5600,2,16,12.857,36,Black
50003,,6000,2,16,12,36,Black
50004,,6000,2,16,10,30,Black / Gray
50005,,3600,2,16,10,18,Black
50006,,6400,2,32,10,32,Black / Silver
50007,,3600,2,16,10,18,Black / Yellow
50008,,6000,2,16,12,36,White
50009,,6000,2,16,10,30,White
50010,,6000,2,16,10,30,Black
50011,,3200,2,8,10,16,Black
50012,,5200,2,8,15.385,40,Black
50013,,6000,2,16,12,36,Black
50014,,6000,2,16,10,30,Black
50015,,3200,2,8,10,16,Black / Gray
50016,,5200,2,32,15.385,40,Black
50017,,4800,2,8,7.083,17,Black
50018,,6000,2,16,10,30,Black
50019,,6000,2,16,10,30,Black
50020,,3200,2,8,10,16,Black
50021,,3200,2,8,10,16,Black
50022,,6000,2,16,13.333,40,Black
50023,,6000,2,16,12,36,Black
50024,,3600,2,8,10,18,Black
50025,,3200,2,16,10,16,Black
50026,,6600,2,32,9.697,32,White
50027,,6000,2,16,10.667,32,Black
50028,,3200,2,16,10,16,Black / Yellow
50029,,5200,2,16,15.385,40,Black
50030,,6000,2,16,10,30,Black
50031,,6000,2,32,10,30,Black
50032,,3600,2,16,10,18,Black
50033,,3600,2,16,10,18,White / Black
50034,,6000,2,8,12,36,Black
50035,,3200,2,16,10,16,Gray
50036,,6000,2,16,10,30,Black
50037,,3200,2,16,10,16,Black
50038,,6000,2,32,10,30,Black / Silver
50039,,6000,2,16,10,30,Gray
50040,,3200,2,8,10,16,Black
50041,,7200,2,16,9.444,34,Black
50042,,3200,2,32,10,16,Black / Yellow
50043,,3600,2,16,10,18,White
50044,,6000,2,16,12,36,Black
50045,,3200,2,8,10,16,White
50046,,6400,2,16,10,32,Black
50047,,6600,2,32,9.697,32,Black
50048,,5600,4,32,14.286,40,Black
50049,,3200,2,16,10,16,Black
50050,,6400,2,16,10,32,White / Black
50051,,6400,2,32,10,32,Black / Gray
50052,,6000,2,16,12,36,Black
50053,,3600,2,8,10,18,Black
50054,,6000,2,16,10,30,Black
50055,,3600,2,8,8.889,16,Black
50056,,8400,2,24,9.524,40,Black
50057,,5200,2,16,15.385,40,White
50058,,3600,2,8,10,18,White
50059,,6000,2,32,10,30,Black
50060,,6000,2,32,10,30,White / Silver
50061,,3200,2,8,13.75,22,
50062,,6000,2,8,13.333,40,Black
50063,,5600,2,16,16.429,46,Black
50064,,5600,2,16,16.429,46,Black
50065,,3600,2,16,8.889,16,Black
50066,,6000,2,16,12,36,Black
50067,,6000,2,16,13.333,40,White / Black
50068,,6000,2,16,10,30,White
50069,,6000,2,16,12,36,Black
50070,,3200,2,16,13.75,22,Black
50071,,3600,2,8,10,18,Black
50072,,3200,2,16,10,16,Black
50073,,3600,2,16,10,18,Black
50074,,6200,2,16,11.613,36,White
50075,,4800,2,8,16.667,40,Black
50076,,6400,2,16,10,32,Black
50077,,6000,2,16,12,36,Black
50078,,6000,2,16,12,36,Black
50079,,6000,2,32,10,30,Black / Silver
50080,,5600,2,32,16.429,46,Black
50081,,5200,4,48,14.615,38,Black
50082,,6400,2,16,10,32,Black
50083,,6000,2,16,12.667,38,Black
50084,,6000,2,16,10,30,Black
50085,,6000,2,16,10.667,32,Black / Gold
50086,,6000,2,16,10,30,White
50087,,5200,2,8,13.846,36,Black / White
50088,,6000,2,32,10,30,Black / Gray
50089,,3600,2,8,10,18,Black
50090,,3000,8,32,10.667,16,Black
50091,,6400,2,16,10,32,Black / Gray
50092,,5600,4,32,14.286,40,Black
50093,,3200,2,16,10,16,Black
50094,,3866,4,8,9.312,18,
50095,,6000,2,16,10,30,White
50096,,6800,2,48,10,34,Black
50097,,2667,1,2,14.993,5,Green
50098,,3200,2,8,10,16,Blue
50099,,2400,1,8,13.333,16,Black / Yellow
50100,,5600,2,16,16.429,46,Black
50101,,6400,2,32,10,32,White / Black
50102,,6600,2,48,9.697,32,Black
50103,,5200,2,8,16.154,42,Black
50104,,3200,1,8,10,16,Black
50105,,3200,2,8,10,16,Black
50106,,3600,2,16,8.889,16,Black / Silver
50107,,6400,2,16,12.5,40,Black
50108,,6000,2,16,10,30,White
50109,,5600,2,16,10,28,Black
50110,,6000,2,16,12.667,38,White
50111,,6000,2,32,10,30,Black
50112,,4800,1,16,16.667,40,Black
50113,,3200,2,8,10,16,Red / Black
50114,,6400,2,16,10,32,Black / Silver
50115,,6800,2,32,9.412,32,Black / Gray
50116,,6000,2,16,16,48,Black
50117,,6400,2,16,12.5,40,White
50118,,3600,2,32,10,18,Black
50119,,3200,8,32,10,16,Black / Silver
50120,,3200,2,8,10,16,Black / Silver
50121,,3200,2,16,10,16,White
50122,,6200,2,16,11.613,36,Black
50123,,3400,4,16,9.412,16,Black
50124,,6600,2,48,9.697,32,White
50125,,3200,2,8,10,16,White
50126,,6000,2,16,10,30,Black
50127,,1600,2,8,11.25,9,Black / Yellow
50128,,6800,2,32,10,34,Black
50129,,6000,2,8,12,36,Black / Silver
50130,,5600,4,32,14.286,40,White
50131,,6400,2,48,10,32,Black
50132,,3200,2,16,13.75,22,Black
50133,,5600,2,8,12.857,36,Black / Silver
50134,,6400,2,16,10,32,Black / White
50135,,6400,2,16,11.25,36,Black
50136,,4800,2,16,16.667,40,Black
50137,,5200,2,16,15.385,40,Black
50138,,3200,2,16,10,16,Blue
50139,,3600,2,8,10,18,Black
50140,,3600,2,16,10,18,Black
50141,,6400,2,16,10,32,Black
50142,,5600,2,32,10,28,Black
50143,,6000,2,32,12.667,38,White / Silver
50144,,8400,2,24,9.524,40,White
50145,,6400,4,16,10,32,White
50146,,6400,2,16,10,32,Black
50147,,6400,2,32,10,32,Black / Gray
50148,,6000,2,16,10,30,Silver / Black
50149,,3200,2,8,10,16,Gray
50150,,5600,2,8,16.429,46,Black
50151,,4000,2,16,9,18,Black
50152,,1600,2,8,13.75,11,Green
50153,,6000,2,16,12.667,38,Black
50154,,2666,1,8,12.003,16,Black
50155,,6000,2,16,10,30,Black / Silver
50156,,6000,2,16,10,30,White / Silver
50157,,6000,2,16,12,36,Black
50158,,6000,2,16,12,36,Black / White
50159,,7200,2,16,9.444,34,White / Gray
50160,,6600,4,16,9.697,32,Black
50161,,5200,4,48,14.615,38,Black
50162,,5200,2,8,15.385,40,Black
50163,,3600,2,32,10,18,Black
50164,,4800,1,8,16.667,40,Black
50165,,6000,2,16,10,30,Black
50166,,3200,2,16,10,16,Red / Black
50167,,4800,2,16,16.667,40,Black
50168,,8000,2,24,10,40,Black
50169,,6000,2,32,11.333,34,Black
50170,,6000,2,16,10,30,Black / Gray
50171,,6000,2,16,10,30,Black
50172,,3000,2,8,10,15,Black / Yellow
50173,,3200,1,64,13.75,22,
50174,,3200,1,8,13.75,22,Green
50175,,6000,2,16,10,30,Black
50176,,6000,2,32,12,36,Black
50177,,5600,2,32,14.286,40,Black
50178,,3600,2,8,10,18,Black
50179,,3600,4,16,10,18,Black
50180,,7200,2,16,9.444,34,Gray
50181,,5200,2,16,15.385,40,Black
50182,,6000,2,16,10,30,Black
50183,,5600,2,16,14.286,40,Black / Gray
50184,,2666,1,4,14.254,19,Green / Black
50185,,6400,2,16,10,32,Black
50186,,5600,2,48,16.429,46,Black
50187,,3200,2,8,10,16,White
50188,,3200,2,8,10,16,Black
50189,,6800,2,32,11.765,40,Black
50190,,6400,2,32,10,32,Black
50191,,3200,4,8,10,16,Black
50192,,5600,2,16,14.286,40,Black / Gray
50193,,3600,2,16,10,18,Black
50194,,6000,2,48,10,30,Black / Silver
50195,,2133,1,8,14.065,15,Green / Black
50196,,3200,2,8,10,16,White
50197,,3600,2,16,10,18,Gray
50198,,5200,2,16,15.385,40,White
50199,,6000,2,32,12.667,38,Black / Silver
50200,,6000,2,32,10,30,White
50201,,6000,2,16,12,36,White / Silver
50202,,2666,1,#VALUE!,16.504,22,Green / Black
50203,,3200,2,8,13.75,22,Black
50204,,3600,2,8,9.444,17,Black
50205,,5600,4,32,14.286,40,White
50206,,2400,1,8,14.167,17,Green
50207,,7600,2,16,9.474,36,Black
50208,,3200,1,4,13.75,22,Green
50209,,7200,2,16,9.444,34,Black
50210,,6400,2,16,10,32,
50211,,6000,2,16,12.667,38,Black
50212,,6000,2,16,12,36,Black
50213,,6200,2,16,13.548,42,White
50214,,3200,2,32,13.75,22,Black / Green
50215,,7800,2,16,9.231,36,Black
50216,,3600,4,32,10,18,Black
50217,,6000,2,32,10,30,Silver / Black
50218,,6400,2,16,10,32,White
50219,,6000,2,48,10,30,Black / Silver
50220,,4400,2,16,8.636,19,Black
50221,,6400,2,16,10,32,White
50222,,7000,2,16,9.143,32,Black / White
50223,,2666,2,8,12.003,16,White
50224,,2666,1,16,14.254,19,Green / Black
50225,,5200,1,16,15.385,40,Black
50226,,3200,2,16,10,16,Gray
50227,,3200,2,8,10,16,Black
50228,,6000,4,24,10,30,Black
50229,,5600,2,16,11.429,32,White
50230,,5200,2,32,15.385,40,White
50231,,6400,2,16,10,32,Black / Silver
50232,,1600,2,8,12.5,10,Black / Red
50233,,3600,2,8,10,18,Black
50234,,3000,2,8,10.667,16,Black / Red
50235,,6400,2,48,10,32,Black
50236,,7200,2,16,9.444,34,White
50237,,5600,2,16,12.857,36,Black
50238,,3600,2,8,10,18,Black / Yellow
50239,,2666,1,64,14.254,19,Green / Black
50240,,3200,2,8,10,16,Black
50241,,3600,2,16,10.556,19,Silver
50242,,3200,2,16,10,16,Silver / Black
50243,,3200,2,8,13.75,22,Silver
50244,,4800,2,8,16.667,40,Black
50245,,3200,2,8,10,16,Silver / Black
50246,,3600,8,32,10,18,Gold
50247,,3600,2,32,10,18,Black
50248,,8200,2,16,9.268,38,Black
50249,,6000,2,16,10,30,White / Black
50250,,3600,2,32,10,18,Black
50251,,4800,2,8,16.667,40,Black
50252,,6000,2,32,12,36,Black / Silver
50253,,6600,4,16,9.697,32,Black / Gray
50254,,3600,2,16,8.889,16,Black / Yellow
50255,,3000,1,16,10.667,16,Black
50256,,6000,2,16,12,36,Gray
50257,,8000,2,16,9.5,38,Black
50258,,5600,2,32,14.286,40,White
50259,,5600,2,16,11.429,32,Black
50260,,5600,2,16,11.429,32,Black
50261,,3200,2,32,10,16,Black
50262,,6000,2,8,13.333,40,Black
50263,,6000,2,32,13.333,40,Black
50264,,3200,4,32,10,16,Black / Yellow
50265,,7200,2,16,9.444,34,Black / White
50266,,3200,2,8,10,16,Black
50267,,1333,2,4,13.503,9,Green
50268,,7600,2,24,9.474,36,Black
50269,,6000,4,16,12,36,Black
50270,,4800,1,16,16.667,40,Black
50271,,3600,2,8,8.889,16,Black / Yellow
50272,,3200,4,32,10,16,Gold
50273,,3600,4,8,10,18,Black / Yellow
50274,,5200,2,48,14.615,38,Black
50275,,7200,2,16,9.444,34,Black
50276,,3600,8,32,8.889,16,
50277,,3600,2,16,10,18,Black
50278,,3600,2,8,8.889,16,Black / Silver
50279,,3200,2,16,10,16,Black
50280,,3600,2,8,10,18,Black
50281,,7200,2,24,10,36,White
50282,,3200,1,16,13.75,22,Green
50283,,6400,4,16,10,32,Black
50284,,3200,1,16,13.75,22,Black
50285,,4800,2,16,16.667,40,Black
50286,,6000,2,32,10,30,Black
50287,,6400,2,48,10,32,Black
50288,,6000,2,16,12.667,38,White
50289,,6000,2,16,12,36,Black
50290,,3200,2,8,10,16,White
50291,,6000,2,32,10,30,Black
50292,,3200,1,16,10,16,Black
50293,,2400,2,8,13.333,16,Black / Yellow
50294,,3600,2,8,10,18,White
50295,,2666,1,16,14.254,19,Black
50296,,6000,2,16,13.333,40,White
50297,,3200,2,32,10,16,Gray
50298,,6400,2,32,9.375,30,Black
50299,,6400,2,16,11.25,36,White / Black
50300,,3200,4,8,10,16,Black
50301,,3200,2,8,10,16,Black / Gray
50302,,5200,1,16,15.385,40,Black / Silver
50303,,5600,2,16,11.429,32,Red
50304,,3200,2,16,10,16,Black
50305,,6400,2,16,10,32,White
50306,,1600,1,4,13.75,11,Green
50307,,3600,2,16,10,18,Black
50308,,5200,4,32,15.385,40,Black
50309,,6000,2,32,10,30,Black / Gray
50310,,3200,2,32,13.75,22,Black
50311,,5600,2,16,10,28,Black
50312,,6000,2,16,10,30,Black
50313,,6000,2,16,10.667,32,Black
50314,,6000,2,16,10,30,Black
50315,,5600,2,48,14.286,40,Black
50316,,3200,2,8,10,16,Red
50317,,4600,2,16,7.826,18,Black
50318,,3600,8,32,10,18,Black
50319,,6400,2,32,10.625,34,Black
50320,,6600,2,32,9.697,32,Black / Gray
50321,,3200,2,8,10,16,White
50322,,3200,2,16,10,16,Black / Gray
50323,,1333,1,2,13.503,9,Black / Green
50324,,1866,2,8,10.718,10,Black / Silver
50325,,6400,2,48,10,32,White / Black
50326,,4000,2,16,9,18,Black
50327,,6800,2,48,11.765,40,Black / Silver
50328,,2133,2,16,12.189,13,Black / Yellow
50329,,4800,1,8,16.667,40,Black
50330,,3200,2,8,10,16,Black
50331,,6000,2,16,10,30,White
50332,,3200,2,16,10,16,Black
50333,,6600,2,32,9.697,32,Black / Gray
50334,,5200,1,32,15.385,40,Black
50335,,6600,2,16,9.697,32,White
50336,,1600,1,8,13.75,11,Green
50337,,6000,2,16,10,30,Black
50338,,3200,4,8,10,16,White
50339,,6000,2,32,11.333,34,White
50340,,3600,2,16,8.889,16,Black
50341,,5600,2,8,14.286,40,Black
50342,,1600,1,8,13.75,11,Black / Green
50343,,3600,2,16,10,18,White
50344,,6800,2,48,10,34,Black
50345,,5600,4,16,12.857,36,Black
50346,,3600,2,8,10,18,Gray
50347,,5600,2,16,12.857,36,White
50348,,7600,2,24,9.474,36,Black
50349,,3600,2,16,10,18,Black
50350,,5200,2,16,15.385,40,Black / Silver
50351,,2400,1,8,12.5,15,Red
50352,,3200,2,8,10,16,Black
50353,,3200,2,16,10,16,Black
50354,,3200,2,8,10,16,Gray
50355,,5600,2,8,12.857,36,Black
50356,,3600,2,32,10,18,Black
50357,,4800,2,32,16.667,40,Black
50358,,3200,1,16,10,16,Black
50359,,5200,4,32,15.385,40,White
50360,,6000,2,16,12,36,Black / Gray
50361,,2666,2,16,12.003,16,Black / Yellow
50362,,4000,2,8,10,20,Red / Black
50363,,5600,1,8,16.429,46,Black
50364,,3600,2,8,10,18,Gray / Silver
50365,,3200,2,16,10,16,Red
50366,,5600,2,16,12.857,36,Black
50367,,7200,2,16,9.444,34,Silver / Black
50368,,6400,2,16,10,32,White / Silver
50369,,6000,2,32,10,30,White / Black
50370,,8200,2,24,9.756,40,Black
50371,,7200,2,16,9.444,34,Black
50372,,6800,2,32,10,34,Black
50373,,3600,2,16,10,18,Black
50374,,4800,2,16,8.333,20,Black
50375,,5600,2,16,12.857,36,Black
50376,,5600,4,16,12.857,36,Black
50377,,4800,2,8,15.833,38,Black
50378,,5200,2,32,15.385,40,Black / Gray
50379,,6000,2,16,12,36,White / Gray
50380,,3600,2,16,10,18,Black / Yellow
50381,,4400,2,32,8.636,19,Black
50382,,3200,2,16,10,16,Black
50383,,6800,2,48,10.588,36,Black
50384,,3200,2,8,13.75,22,Green
50385,,3200,1,16,10,16,Black
50386,,3200,2,8,10,16,Black
50387,,6600,2,16,9.697,32,Black
50388,,6000,1,16,16,48,Black
50389,,4400,2,16,8.636,19,Black
50390,,4000,2,16,9,18,Black / Yellow
50391,,5600,2,16,14.286,40,Black / Gray
50392,,5333,2,8,7.5,20,Black
50393,,3200,4,16,10,16,Black / Yellow
50394,,4800,2,32,16.667,40,Silver
50395,,2666,2,8,12.003,16,Black
50396,,1866,2,8,10.718,10,Black / Silver
50397,,6200,2,16,11.613,36,White
50398,,5200,2,8,15.385,40,Black
50399,,1600,2,4,11.25,9,Black / Red
50400,,5600,2,16,16.429,46,Black
50401,,6000,2,16,13.333,40,White
50402,,3200,2,16,10,16,Black
50403,,3000,2,8,10.667,16,Black
50404,,6000,2,32,13.333,40,Gray
50405,,3200,2,8,10,16,Black / Red
50406,,2133,4,32,14.065,15,Black / Green
50407,,7000,2,16,9.714,34,White
50408,,6000,2,16,13.333,40,Black
50409,,5200,2,8,15.385,40,Black
50410,,6800,2,16,10,34,Black / Silver
50411,,6000,2,32,10,30,Black
50412,,3000,2,8,10.667,16,White
50413,,5200,2,8,13.846,36,Black / Silver
50414,,6000,2,32,10,30,White
50415,,2666,1,4,14.254,19,Green / Black
50416,,3600,4,16,10,18,White
50417,,3600,2,16,8.889,16,Black
50418,,6000,2,32,16,48,Black
50419,,3200,2,8,10,16,White
50420,,6400,2,32,10,32,Black
50421,,3200,1,8,13.75,22,
50422,,6400,2,16,11.25,36,Black
50423,,8200,2,24,9.268,38,Black
50424,,4800,2,16,15.833,38,Black / Silver
50425,,7600,2,16,9.474,36,Black
50426,,3600,4,16,8.889,16,Black / Silver
50427,,3600,2,8,9.444,17,Black
50428,,6000,2,32,10,30,White
50429,,6400,2,16,10,32,White
50430,,3200,2,4,10,16,Silver / Black
50431,,3600,2,8,10,18,Red
50432,,6000,2,16,11.333,34,Black
50433,,6000,2,32,12,36,Black
50434,,6000,2,24,16,48,Black
50435,,3200,2,8,10,16,White / Black
50436,,3200,2,16,10,16,Black / Yellow
50437,,6800,2,16,10,34,Black
50438,,3000,2,16,10.667,16,Red / Black
50439,,3200,4,8,10,16,Black / Yellow
50440,,3200,2,8,10,16,
50441,,8000,2,24,10,40,White / Black
50442,,3600,2,8,8.889,16,Black
50443,,5200,2,8,16.154,42,Black
50444,,5600,2,8,14.286,40,Black / White
50445,,5600,2,16,10,28,Black
50446,,7200,2,24,9.444,34,Black
50447,,3200,1,32,13.75,22,
50448,,6600,2,48,9.697,32,Black / Silver
50449,,6800,2,48,10.588,36,White
50450,,3200,2,16,10,16,White
50451,,6600,2,48,9.697,32,Black / Silver
50452,,3200,4,16,10,16,Black
50453,,6400,2,16,10,32,Black
50454,,5133,2,8,7.793,20,Black
50455,,6600,2,32,9.697,32,White
50456,,6400,2,24,10,32,Black
50457,,2400,1,8,12.5,15,Black / Green
50458,,2666,2,8,12.003,16,Black / Yellow
50459,,2133,2,8,12.189,13,Black / Yellow
50460,,3200,2,8,10,16,Silver
50461,,6400,2,32,10,32,White
50462,,5200,2,8,15.385,40,Black
50463,,1600,2,8,13.75,11,Black
50464,,6800,2,16,10,34,Black
50465,,6600,2,16,9.697,32,Black
50466,,6400,2,16,10,32,Silver / Black
50467,,6200,2,16,12.258,38,White
50468,,4000,4,32,9,18,Silver
50469,,3000,2,8,10.667,16,Black
50470,,6000,2,16,10,30,Red
50471,,3200,1,64,13.75,22,
50472,,6000,2,32,10,30,Black
50473,,6000,2,16,13.333,40,Black
50474,,5600,2,16,10.714,30,Black
50475,,5600,1,16,16.429,46,Black
50476,,3200,1,8,11.25,18,Black / Silver
50477,,6400,2,32,9.375,30,White
50478,,5200,2,16,15.385,40,White
50479,,6000,4,24,13.333,40,Black
50480,,3200,2,16,10,16,Black
50481,,6600,2,16,10.303,34,White
50482,,6000,2,16,10.667,32,Black
50483,,5600,2,32,10,28,White
50484,,5600,1,32,14.286,40,Black
50485,,6400,2,48,10,32,White
50486,,6000,2,32,12.667,38,Black
50487,,2400,2,8,12.5,15,Black / Red
50488,,6400,2,48,10,32,Black
50489,,5600,2,16,12.857,36,White
50490,,3200,2,16,10,16,Black
50491,,6000,4,16,12,36,White
50492,,6400,2,16,12.5,40,Black
50493,,6000,2,32,10,30,Black
50494,,5600,4,16,12.857,36,Black
50495,,6000,2,16,12,36,White / Black
50496,,3200,2,16,10,16,Black
50497,,6400,2,16,10,32,Silver / Black
50498,,3200,2,16,10,16,Black
50499,,5600,2,32,14.286,40,Black / Gray
50500,,3200,2,8,10,16,Black / Gold
50501,,6600,4,16,9.697,32,Black / Gray
50502,,6400,2,32,10,32,Silver / Black
50503,,6400,1,48,10,32,Silver / Black
50504,,5600,2,16,12.857,36,Black
50505,,5200,2,16,15.385,40,Black / Silver
50506,,3600,2,8,10,18,Black
50507,,3200,1,8,13.75,22,Black
50508,,2400,1,8,14.167,17,Green
50509,,3200,2,8,10,16,Silver / Black
50510,,6400,2,16,10,32,
50511,,3200,2,8,10,16,Black / Silver
50512,,3600,2,8,10,18,Black
50513,,3000,1,8,10.667,16,Black
50514,,3600,2,16,10,18,White
50515,,8200,2,24,9.268,38,Black
50516,,3000,4,16,10.667,16,Black
50517,,6600,2,16,11.515,38,Black
50518,,7200,2,16,10,36,White / Black
50519,,6000,2,16,10,30,Black
50520,,4000,2,32,9,18,Black
50521,,3600,2,16,10,18,Black
50522,,5600,2,16,12.857,36,Gray
50523,,2666,1,8,14.254,19,Green / Black
50524,,6400,2,24,10,32,White / Black
50525,,5600,2,8,14.286,40,Black
50526,,3600,2,32,10,18,White
50527,,3600,2,16,8.889,16,Black
50528,,6400,2,32,10,32,White
50529,,6000,2,16,10,30,Black
50530,,3000,1,8,10.667,16,Black / Red
50531,,3200,1,8,10,16,Silver / Black
50532,,3200,2,8,10,16,Black
50533,,7800,2,16,9.231,36,Silver / Black
50534,,2400,1,16,11.667,14,Black
50535,,6000,1,8,13.333,40,Black
50536,,6400,2,16,10,32,White / Gray
50537,,1600,1,1,12.5,10,Black / Silver
50538,,3200,2,8,10,16,Black
50539,,6000,4,24,10,30,Black
50540,,3600,2,8,10,18,White
50541,,2666,4,32,13.503,18,Black
50542,,2666,2,4,12.003,16,Black / Yellow
50543,,7200,2,24,10,36,Black
50544,,3600,2,16,10,18,Red
50545,,5600,2,32,10,28,Black
50546,,6600,2,16,11.515,38,Black / Silver
50547,,3200,2,16,10,16,Black
50548,,5200,2,16,15.385,40,Gray
50549,,7200,2,16,9.444,34,White
50550,,3200,2,16,13.75,22,Silver
50551,,6800,2,48,11.765,40,Black
50552,,6000,2,16,10,30,White
50553,,3600,4,32,10,18,Black / Yellow
50554,,5200,1,16,14.615,38,Black
50555,,3600,2,16,10,18,Black
50556,,5600,2,16,14.286,40,Black / Gray
50557,,6000,2,32,10,30,Black
50558,,4000,2,32,9,18,Black
50559,,5600,1,16,13.571,38,White
50560,,5200,2,8,13.846,36,Black
50561,,5600,1,16,14.286,40,Black
50562,,2800,2,2,15,6,Green
50563,,3200,2,32,10,16,Black / Silver
50564,,4000,2,8,9,18,Black
50565,,6400,2,16,12.5,40,Black
50566,,6400,2,32,9.375,30,Black
50567,,6000,2,16,10,30,White
50568,,4000,2,16,9,18,Black / Silver
50569,,4000,2,16,9,18,Silver
50570,,5600,2,16,10,28,Black
50571,,3200,2,8,10,16,Black
50572,,2666,1,16,12.003,16,Red / Black
50573,,1333,1,8,13.503,9,Green
50574,,3200,1,32,10,16,Black
50575,,6000,2,16,10.667,32,Silver / Black
50576,,1333,1,8,13.503,9,Green / Black
50577,,6000,2,16,12,36,Black
50578,,3200,2,32,10,16,Gray
50579,,6400,2,32,10,32,Black
50580,,3200,2,8,10,16,Black
50581,,3600,2,16,10,18,Silver / Black
50582,,5200,2,16,16.154,42,Black
50583,,5200,1,8,16.154,42,Black
50584,,3200,2,16,10,16,Black
50585,,3600,2,32,10,18,Gray
50586,,5600,2,16,12.857,36,Black
50587,,2933,1,64,14.32,21,Green / Black
50588,,3200,8,32,10,16,Black / Yellow
50589,,5600,2,16,12.857,36,White
50590,,8000,2,16,9,36,Black
50591,,8000,2,16,9.5,38,Black / Silver
50592,,5200,2,32,15.385,40,White / Gray
50593,,2666,1,8,12.003,16,Red / Black
50594,,5600,2,16,11.429,32,Black
50595,,2133,1,4,14.065,15,Black
50596,,6400,2,32,10,32,Black / White
50597,,2133,1,32,14.065,15,Black / Green
50598,,3200,1,8,10,16,Black
50599,,3600,4,8,10,18,White
50600,,2666,2,8,12.003,16,Red
50601,,6400,2,24,11.25,36,Black
50602,,3600,2,16,10,18,Gray / Black
50603,,4000,2,16,10,20,Red / Black
50604,,2400,2,16,11.667,14,Black / Yellow
50605,,3200,1,8,10,16,Red / Black
50606,,7200,2,24,9.444,34,White
50607,,3600,2,16,10,18,Black
50608,,3733,2,8,9.644,18,Gray
50609,,3200,2,8,10,16,White
50610,,5600,2,16,16.429,46,Black
50611,,6600,2,32,9.697,32,Black
50612,,6400,2,24,10,32,Black
50613,,2400,1,4,13.333,16,Black / Yellow
50614,,6000,1,16,12,36,Black
50615,,2666,1,16,14.254,19,Black
50616,,2133,1,8,14.065,15,Black
50617,,5100,2,8,7.451,19,Black
50618,,4800,1,16,16.667,40,Black
50619,,5600,2,16,10,28,White
50620,,5600,1,16,16.429,46,Black
50621,,1600,2,8,12.5,10,Blue / Silver
50622,,6000,2,16,12,36,White / Silver
50623,,6400,2,16,9.375,30,Black
50624,,7800,2,16,9.744,38,White / Silver
50625,,5600,2,32,14.286,40,Black
50626,,6000,4,16,12,36,Black
50627,,4600,2,32,8.696,20,Black
50628,,6000,2,32,13.333,40,White / Black
50629,,6000,2,16,10.667,32,Silver / Black
50630,,3600,2,8,10,18,Gray
50631,,4800,2,32,16.667,40,Black
50632,,7000,2,16,9.714,34,Black
50633,,1600,2,4,11.25,9,Black / Silver
50634,,3200,1,8,13.75,22,Black
50635,,3600,4,8,10,18,White
50636,,5200,2,32,15.385,40,White
50637,,7800,2,16,9.744,38,Black / Silver
50638,,3200,2,8,10,16,Black
50639,,6000,2,32,13.333,40,Black
50640,,7200,2,24,10,36,Black
50641,,6000,2,32,10.667,32,White / Silver
50642,,3600,4,32,10,18,Black
50643,,3600,1,32,11.111,20,Black
50644,,7600,2,16,9.474,36,Black
50645,,5600,2,48,14.286,40,Black
50646,,3600,8,16,7.778,14,Silver
50647,,6000,2,16,10,30,Black
50648,,4800,1,32,16.667,40,Black
50649,,3200,2,16,10,16,White / Black
50650,,4000,2,32,9.5,19,Black / Silver
50651,,6000,2,32,10,30,Black
50652,,6400,2,16,10,32,Black
50653,,6000,2,16,12,36,Black
50654,,7200,2,16,9.444,34,Black
50655,,5200,2,16,14.615,38,Black
50656,,7000,2,16,10.286,36,Black / Gray
50657,,3600,2,8,10,18,White / Black
50658,,6600,2,16,9.697,32,Black
50659,,3200,1,16,10,16,Red / Black
50660,,7200,2,16,9.444,34,Black / White
50661,,2400,2,4,14.167,17,Black
50662,,6000,1,32,12,36,Black / Silver
50663,,3200,2,16,10,16,White
50664,,4800,2,8,15.833,38,Black
50665,,2666,1,8,14.254,19,Black
50666,,3200,2,32,10,16,Black
50667,,5200,2,16,13.846,36,Black
50668,,3600,2,16,10,18,Black
50669,,3600,8,32,10,18,Black / Yellow
50670,,3200,2,16,8.75,14,Black
50671,,3200,2,16,10,16,Black
50672,,6400,4,16,10,32,Black / Gray
50673,,6000,2,16,10,30,White
50674,,8200,2,24,9.756,40,White / Black
50675,,6000,2,32,10.667,32,Black / Silver
50676,,6800,2,16,10,34,Black / Silver
50677,,3200,2,8,10,16,Red
50678,,2133,2,32,14.065,15,Black / Green
50679,,6000,2,16,10.667,32,Black
50680,,6600,2,16,9.697,32,Black
50681,,3600,2,8,10,18,Black
50682,,3200,1,8,10,16,Black
50683,,2400,1,16,14.167,17,Black / Green
50684,,5200,2,16,15.385,40,Black
50685,,3000,2,16,10.667,16,Black
50686,,3600,2,8,10,18,Black
50687,,6000,1,48,10.667,32,Silver / Black
50688,,6400,2,48,10,32,Silver / Black
50689,,5600,2,16,12.857,36,Black
50690,,6000,2,16,10.667,32,White / Silver
50691,,6000,8,64,12,36,Black
50692,,3200,2,8,10,16,Red
50693,,5600,2,32,12.857,36,Black / White
50694,,5600,2,8,14.286,40,Black
50695,,3200,2,16,10,16,Silver / Black
50696,,3200,2,16,13.75,22,Green / Black
50697,,6000,2,16,10,30,Black
50698,,5600,2,32,10,28,Black
50699,,3600,2,16,10,18,White
50700,,3600,2,16,10,18,Black
50701,,6000,2,32,12,36,White / Black
50702,,6400,2,32,10.625,34,White
