model_no,chipset,memory,memory_type,core_clock,boost_clock
41415,GeForce RTX 4060 Ti,8,,2310,2655
41416,Radeon RX 6400,4,,1923,
41417,GeForce RTX 3090,24,,1395,1785
41418,Radeon RX 570,8,,1168,1268
41419,GeForce RTX 2080,8,,1515,
41420,Radeon RX 6600 XT,8,,1968,2607
41421,GeForce GTX 980,4,,1178,1279
41422,GeForce GTX 750 Ti,2,,1020,1085
41423,GeForce GTX 1070,8,,1531,1721
41424,GeForce GTX 1660 Ti,6,,1500,1770
41425,GeForce RTX 2070 SUPER,8,,1605,1815
41426,Radeon RX 6950 XT,16,,1890,2495
41427,Radeon RX 6400,4,,1923,
41428,Radeon RX 6800 XT,16,,1825,2310
41429,Radeon RX 6900 XT,16,,1825,2600
41430,Radeon PRO W7700,16,,1900,2600
41431,Arc A770,8,,2200,
41432,GeForce RTX 2080,8,,1515,1800
41433,Radeon RX VEGA 56,8,,1208,1512
41434,GeForce RTX 4080,16,,2205,2535
41435,GeForce GTX 1070 Ti,8,,1607,1683
41436,Radeon RX 6600 XT,8,,1968,
41437,GeForce RTX 3090 Ti,24,,1560,1890
41438,GeForce RTX 3050 6GB,6,,1040,1500
41439,GeForce RTX 4090,24,,2235,2580
41440,GeForce GTX 1060 3GB,3,,1544,1759
41441,GeForce GTX 1080 Ti,11,,1556,1670
41442,GeForce GTX 1070 Ti,8,,1607,1683
41443,Radeon RX 6900 XT,16,,1825,2250
41444,Radeon RX 5700 XT,8,,1810,2025
41445,GeForce RTX 3080 10GB,10,,1440,1845
41446,GeForce RTX 4080,16,,2205,2505
41447,GeForce RTX 4060,8,,1830,2490
41448,GeForce RTX 4080,16,,2205,2505
41449,Radeon PRO W7600,8,,1720,2440
41450,GeForce RTX 3070 LHR,8,,1500,1755
41451,Radeon RX 7900 XT,20,,2000,2560
41452,GeForce RTX 3060 Ti,8,,1410,1695
41453,GeForce GTX 1080 Ti,11,,1506,1620
41454,GeForce GTX 1660 Ti,6,,1500,1770
41455,GeForce GTX 1660 SUPER,6,,1530,1800
41456,Radeon RX 580,8,,1405,1425
41457,GeForce RTX 4060 Ti,16,,2310,2580
41458,GeForce GTX 1070,8,,1594,1784
41459,GeForce RTX 3070 Ti,8,,1575,1770
41460,GeForce GTX 1070,8,,1506,1683
41461,GeForce GTX 1070,8,,1632,1835
41462,GeForce RTX 3080 10GB,10,,1440,1935
41463,GeForce RTX 4090,24,,2235,2580
41464,GeForce RTX 4060,8,,1830,2490
41465,GeForce RTX 4080,16,,2205,2580
41466,GeForce RTX 3060 Ti LHR,8,,1410,1770
41467,GeForce RTX 4080,16,,2205,2565
41468,GeForce RTX 4070 Ti,12,,2310,2670
41469,GeForce RTX 4070,12,,1920,2505
41470,GeForce GTX 1050,2,,1379,1518
41471,GeForce RTX 3060 Ti,8,,1410,1785
41472,GeForce RTX 3080 Ti,12,,1365,1800
41473,GeForce GTX 1060 3GB,3,,1607,1835
41474,GeForce RTX 3060 12GB,12,,1320,
41475,GeForce RTX 2070,8,,1620,1740
41476,GeForce GTX 1660 Ti,6,,1500,1830
41477,Radeon RX 5700 XT,8,,1605,1905
41478,GeForce GTX 1650 SUPER,4,,1530,1755
41479,GeForce RTX 4070 Ti SUPER,16,,2340,2655
41480,Radeon RX 6900 XT,16,,1825,2425
41481,Radeon RX 6600 XT,8,,2188,2607
41482,GeForce RTX 3070 LHR,8,,1500,1770
41483,GeForce RTX 3070 LHR,8,,1500,1935
41484,Radeon RX 6950 XT,16,,1890,2324
41485,GeForce GTX 1650 G6,4,,1410,1590
41486,GeForce RTX 3080 Ti,12,,1365,1665
41487,GeForce GTX 660,2,,1046,
41488,GeForce GTX 1080,8,,1683,1822
41489,GeForce GTX 1060 3GB,3,,1620,1847
41490,Radeon RX 580,8,,1340,1380
41491,GeForce RTX 2070,8,,1410,1725
41492,GeForce GTX 1660 Ti,6,,1500,1860
41493,Radeon RX 5700,8,,1565,1750
41494,GeForce RTX 3090,24,,1395,1695
41495,GeForce RTX 3060 Ti,8,,1410,1665
41496,GeForce RTX 3070 Ti,8,,1575,1770
41497,GeForce RTX 3080 10GB,10,,1440,1710
41498,GeForce RTX 3070 LHR,8,,1500,1725
41499,GeForce RTX 3060 12GB,12,,1320,1882
41500,GeForce RTX 4080 SUPER,16,,2210,2550
41501,Radeon RX 6900 XT,16,,1825,2525
41502,Radeon R9 290X,4,,772,
41503,GeForce GTX 650,1,,1058,
41504,Radeon RX 480,8,,1120,1286
41505,GeForce RTX 3080 10GB,10,,1440,1755
41506,GeForce GTX 1080,8,,1607,1733
41507,Radeon RX 580,8,,1257,1340
41508,Radeon RX 570,8,,1168,1270
41509,GeForce RTX 2070 SUPER,8,,1605,1815
41510,Radeon RX 5700,8,,1515,1750
41511,Radeon RX 5500 XT,8,,1647,1845
41512,Radeon RX 580,8,,1257,1355
41513,GeForce RTX 3070 LHR,8,,1500,1725
41514,GeForce GTX 1660 SUPER,6,,1530,1830
41515,GeForce RTX 3060 Ti,8,,1410,1665
41516,Radeon RX 6800 XT,16,,1825,2250
41517,GeForce RTX 3070 Ti,8,,1575,1770
41518,GeForce RTX 3050 6GB,6,,1040,1470
41519,GeForce GT 730,2,,902,
41520,Radeon RX 5500 XT,8,,1607,1865
41521,GeForce GTX 1070 Ti,8,,1632,1721
41522,GeForce GTX 750 Ti,2,,1189,1268
41523,GeForce GTX 980,4,,1152,1253
41524,GeForce GTX 1050 Ti,4,,1290,1392
41525,GeForce GTX 1080,8,,1721,1860
41526,GeForce GTX 1080 Ti,11,,1506,1620
41527,Vega Frontier Edition Liquid,16,,1500,1600
41528,GeForce RTX 2060,6,,1365,1680
41529,GeForce RTX 2080 Ti,11,,1350,1545
41530,Radeon RX 5700 XT,8,,1605,1905
41531,GeForce RTX 3060 Ti,8,,1410,1710
41532,GeForce RTX 3070 Ti,8,,1575,1770
41533,Radeon RX 6600 XT,8,,1968,2589
41534,GeForce RTX 4060 Ti,8,,2310,2565
41535,GeForce RTX 4080 SUPER,16,,2210,2625
41536,Radeon Pro WX 5100,8,,926,1206
41537,Quadro K2200,4,,1046,
41538,GeForce RTX 3080 12GB LHR,12,,1260,1830
41539,GeForce GTX 1630,4,,1740,
41540,GeForce GTX 1080 Ti,11,,1569,1683
41541,Radeon RX 570,4,,1168,1293
41542,GeForce GTX 660,2,,1020,
41543,GeForce GTX 970,4,,1088,1228
41544,GeForce GTX 980 Ti,6,,1190,1291
41545,Radeon RX 480,4,,1120,1316
41546,Radeon RX 580,8,,1257,1380
41547,Radeon RX 5600 XT,6,,1355,1620
41548,Radeon RX 5600 XT,6,,1247,1620
41549,Radeon RX 6650 XT,8,,2055,2689
41550,GeForce RTX 3060 12GB,12,,1320,1777
41551,Radeon Pro W5500,8,,1354,1900
41552,GeForce RTX 4080 SUPER,16,,2210,2580
41553,GeForce RTX 3080 12GB LHR,12,,1260,1755
41554,Quadro 410,0.5,,706,
41555,Radeon R7 240,2,,730,
41556,GeForce GTX 1070 Ti,8,,1607,1683
41557,GeForce GTX 1080 Ti,11,,1569,1683
41558,GeForce GTX 1050 Ti,4,,1341,1480
41559,GeForce RTX 2060,6,,1365,1770
41560,GeForce RTX 2060,6,,1365,1830
41561,Radeon RX 570,8,,1168,1255
41562,GeForce GTX 1650 G5,4,,1485,1695
41563,GeForce RTX 2060 SUPER,8,,1470,1695
41564,GeForce GTX 1660 SUPER,6,,1530,1785
41565,Radeon RX 5600 XT,6,,1185,1600
41566,Radeon RX 5600 XT,6,,1247,1770
41567,GeForce GTX 1650 SUPER,4,,1530,1740
41568,GeForce RTX 4080,16,,2205,2520
41569,Radeon HD 7970,3,,950,
41570,GeForce RTX 4070 Ti SUPER,16,,2340,2670
41571,GeForce RTX 2060,6,,1365,1680
41572,Radeon RX 6800 XT,16,,1825,2310
41573,Radeon HD 4350,0.5,,575,
41574,GeForce GTX 1080 Ti,11,,1569,1683
41575,Radeon RX 580,4,,1257,1366
41576,Radeon RX 5700,8,,1565,1750
41577,GeForce GTX 780,3,,967,
41578,GeForce GTX 750 Ti,2,,1085,1163
41579,GeForce GTX 960,4,,1216,1279
41580,GeForce GTX 970,4,,1051,1178
41581,GeForce RTX 2060 SUPER,8,,1470,1845
41582,Radeon RX 5700,8,,1515,1725
41583,GeForce RTX 2060 SUPER,8,,1470,1710
41584,GeForce RTX 2070 SUPER,8,,1605,1830
41585,Radeon RX 5700 XT,8,,1730,1980
41586,Radeon RX 5700 XT,8,,1810,2025
41587,Radeon RX 570,4,,1168,1268
41588,GeForce GTX 1650 G5,4,,1485,1695
41589,RTX A1000,8,,,1460
41590,Radeon RX 6900 XT,16,,1825,2525
41591,Radeon RX 6900 XT,16,,1925,2340
41592,Radeon RX 560 - 1024,2,,1175,1300
41593,GeForce GT 710,1,,954,
41594,GeForce RTX 3080 Ti,12,,1365,1710
41595,GeForce RTX 4060 Ti,8,,2310,2685
41596,GeForce GT 730,2,,902,927
41597,GeForce RTX 4060 Ti,8,,2310,2595
41598,GeForce GTX 1060 6GB,6,,1506,1708
41599,GeForce GTX 1070 Ti,8,,1607,1683
41600,Radeon RX 6800,16,,1700,2190
41601,GeForce RTX 3060 8GB,8,,1320,1807
41602,GeForce GTX 750,1,,1059,1137
41603,GeForce GTX 1050 Ti,4,,1290,1392
41604,Radeon RX 580,8,,1257,1450
41605,Radeon RX 550 - 512,4,,1100,1183
41606,GeForce RTX 2060,6,,1680,1830
41607,GeForce RTX 2080 SUPER,8,,1650,1815
41608,GeForce RTX 2070,8,,1410,1620
41609,GeForce RTX 3070,8,,1500,1725
41610,GeForce RTX 3050 8GB,8,,1550,1830
41611,GeForce RTX 3050 6GB,6,,1040,1537
41612,GeForce RTX 3090 Ti,24,,1560,1860
41613,T1000 4GB,4,,1065,1395
41614,GeForce RTX 3070 LHR,8,,1500,1845
41615,GeForce GTX 1080,8,,1771,1911
41616,RTX A4000,16,,735,1560
41617,GeForce GTX 1650 G6,4,,1485,1620
41618,GeForce GTX 1660 Ti,6,,1500,1770
41619,GeForce RTX 2080 SUPER,8,,1650,1890
41620,Radeon RX 6750 XT,12,,2150,2623
41621,GeForce GTX 1650 G6,4,,1410,1650
41622,GeForce GTX Titan X,12,,1000,1075
41623,GeForce GTX 1050,2,,1354,1455
41624,Radeon RX 570,4,,1168,1340
41625,GeForce RTX 2070 SUPER,8,,1605,1785
41626,Radeon RX 570,8,,1168,1284
41627,Radeon RX 6600 XT,8,,1968,
41628,GeForce RTX 3060 Ti LHR,8,,1410,1755
41629,GeForce RTX 3080 10GB LHR,10,,1440,1815
41630,GeForce RTX 4070,12,,1920,2505
41631,Radeon RX 6650 XT,8,,2055,2694
41632,GeForce RTX 3060 Ti,8,,1410,1665
41633,GeForce GTX 1080 Ti,11,,1506,1620
41634,GeForce RTX 2070,8,,1410,1620
41635,GeForce GTX 750 Ti,4,,1124,1202
41636,GeForce GTX 1080,8,,1708,1847
41637,GeForce RTX 2060,6,,1365,1785
41638,Radeon VII,16,,1400,1750
41639,GeForce GTX 1660 SUPER,6,,1530,1815
41640,GeForce RTX 3060 Ti LHR,8,,1410,1695
41641,Radeon RX 550 - 512,4,,1100,1071
41642,GeForce RTX 3090,24,,1395,1785
41643,GeForce RTX 3070 Ti,8,,1575,1830
41644,GeForce RTX 4070 SUPER,12,,1980,2505
41645,GeForce GTX 1630,4,,1740,
41646,Quadro M5000,8,,861,1038
41647,GeForce RTX 4090,24,,2235,2610
41648,Radeon RX 6800,16,,1700,2105
41649,GeForce RTX 3070 LHR,8,,1500,1785
41650,GeForce 210,1,,520,
41651,GeForce GTX 770,4,,1137,
41652,GeForce GTX 980,4,,1126,1216
41653,Radeon R7 370,4,,1020,1070
41654,GeForce GT 710,1,,954,
41655,Radeon RX VEGA 64,8,,1373,1580
41656,GeForce RTX 2060,6,,1365,1680
41657,GeForce GTX 1660 Ti,6,,1500,1815
41658,GeForce RTX 2070,8,,1410,1650
41659,GeForce GTX 1660 SUPER,6,,1530,
41660,GeForce RTX 3090,24,,1395,1920
41661,GeForce RTX 4060 Ti,8,,2310,
41662,FirePro W7100,8,,824,
41663,GeForce GTX 1650 G6,4,,1410,1650
41664,Arc Pro A60,12,,900,2050
41665,GeForce GTX 1650 G5,4,,1665,1785
41666,GeForce RTX 4090,24,,2235,2550
41667,Radeon RX 6650 XT,8,,2055,2694
41668,GeForce GTX 770,2,,1058,
41669,GeForce GTX 760,2,,1085,
41670,GeForce GTX 760,2,,1033,1085
41671,GeForce GTX 980,4,,1127,1216
41672,GeForce GTX 1070,8,,1607,1797
41673,GeForce GTX 1080,8,,1721,1860
41674,Radeon RX 460,4,,1090,1212
41675,GeForce GTX 1050,2,,1417,1556
41676,Radeon RX 560 - 896,4,,115,1176
41677,GeForce GTX 1660 Ti,6,,1500,1800
41678,Radeon RX 590,8,,1469,1545
41679,GeForce RTX 2060,6,,1680,1770
41680,Radeon RX 5700 XT,8,,1650,1980
41681,Radeon RX 6950 XT,16,,1890,2435
41682,Radeon Pro VII,16,,1400,1700
41683,GeForce RTX 4070 SUPER,12,,1980,2640
41684,Radeon HD 7750,2,,800,
41685,Radeon RX VEGA 64,8,,1247,1546
41686,GeForce RTX 4060,8,,1830,2505
41687,GeForce GT 1030,2,,1290,1544
41688,GeForce RTX 3080 Ti,12,,1365,1860
41689,GeForce GTX 550 Ti,2,,900,
41690,Radeon RX 480,4,,1208,1306
41691,Radeon RX 570,4,,1168,1250
41692,GeForce RTX 2060,6,,1365,1695
41693,Radeon RX 590,8,,1545,1560
41694,GeForce GTX 1650 SUPER,4,,1530,1725
41695,GeForce RTX 3070,8,,1500,1770
41696,Radeon RX 7600,8,,1720,2755
41697,GeForce GTX 1660 Ti,6,,1500,1830
41698,Radeon RX 580,8,,1405,1425
41699,GeForce RTX 3050 8GB,8,,1550,1777
41700,GeForce RTX 3070,8,,1500,1725
41701,GeForce GTX 1070 Ti,8,,1607,1721
41702,Radeon RX 6800 XT,16,,1825,
41703,Radeon RX 580,4,,1257,1386
41704,GeForce RTX 4070 Ti,12,,2310,2625
41705,GeForce GTX 690,4,,915,
41706,GeForce GTX 970,4,,1165,1317
41707,GeForce GTX 1060 6GB,6,,1632,1860
41708,GeForce GTX 1070 Ti,8,,1607,1683
41709,GeForce GTX 1070,8,,1506,1721
41710,GeForce RTX 2080 SUPER,8,,1650,1845
41711,GeForce RTX 2070,8,,1410,1620
41712,GeForce RTX 3070,8,,1500,1755
41713,GeForce RTX 3080 10GB,10,,1710,
41714,Radeon RX 6650 XT,8,,2055,2694
41715,Quadro K6000,12,,902,
41716,GeForce RTX 4070 Ti,12,,2310,2685
41717,GeForce RTX 4070,12,,1920,2520
41718,GeForce RTX 2080 Ti,11,,1350,1560
41719,Quadro K420,2,,876,891
41720,GeForce RTX 2080 Ti,11,,1350,1635
41721,GeForce RTX 3080 Ti,12,,1365,1770
41722,GeForce RTX 3080 10GB LHR,10,,1440,1920
41723,GeForce GTX 1060 6GB,6,,1506,1708
41724,GeForce RTX 2060 SUPER,8,,1500,1710
41725,GeForce GTX 260,0.875,,680,
41726,Radeon R7 260X,2,,1050,
41727,GeForce GTX 970,4,,1216,1367
41728,Quadro K620,2,,1058,
41729,GeForce GTX 950,2,,1203,1405
41730,Radeon RX 470,4,,1143,1260
41731,GeForce GTX 1070,8,,1506,1683
41732,Radeon RX 470,4,,1140,1236
41733,GeForce GTX 1050 Ti,4,,1290,1493
41734,GeForce RTX 2080 Ti,11,,1350,1665
41735,GeForce GTX 1660,6,,1530,1785
41736,Radeon RX 5700 XT,8,,1605,1905
41737,GeForce GTX 1660 SUPER,6,,1530,1860
41738,GeForce RTX 3060 12GB,12,,1320,
41739,GeForce RTX 3080 12GB LHR,12,,1260,1740
41740,GeForce RTX 3080 10GB LHR,10,,1710,1800
41741,GeForce RTX 3060 Ti,8,,1410,1695
41742,GeForce RTX 4070,12,,1920,2475
41743,T600,4,,735,1335
41744,Quadro 2000D,1,,625,
41745,GeForce GTX 1080,8,,1708,1847
41746,Radeon RX 6900 XT,16,,1950,2365
41747,GeForce RTX 4070,12,,1920,2550
41748,GeForce RTX 4090,24,,2235,2610
41749,Radeon RX 6400,4,,1923,
41750,GeForce RTX 4060 Ti,8,,2310,2565
41751,GeForce GTX 660,2,,1033,
41752,GeForce GTX 750 Ti,2,,1033,1085
41753,Radeon R9 270,2,,920,945
41754,GeForce GTX 980 Ti,6,,1253,1355
41755,GeForce GTX 1060 6GB,6,,1506,1708
41756,GeForce GTX 1080,8,,1657,1797
41757,Radeon RX 560 - 1024,4,,1175,1285
41758,GeForce RTX 2060 SUPER,8,,1470,1650
41759,Radeon RX 5600 XT,6,,1247,1620
41760,GeForce RTX 3060 12GB,12,,1320,
41761,Radeon RX 6800 XT,16,,1825,2250
41762,GeForce RTX 3050 6GB,6,,1040,1492
41763,GeForce RTX 3080 10GB LHR,10,,1440,1740
41764,GeForce RTX 3060 12GB,12,,1320,1882
41765,GeForce RTX 4060,8,,1830,2460
41766,Radeon R9 390,8,,1040,
41767,GeForce GTX 1050 Ti,4,,1341,1455
41768,GeForce GTX 1080 Ti,11,,1506,1620
41769,GeForce RTX 2070,8,,1410,1650
41770,GeForce RTX 2070 SUPER,8,,1605,1770
41771,GeForce RTX 2070 SUPER,8,,1635,1800
41772,GeForce RTX 2080 SUPER,8,,1650,1830
41773,Radeon RX 570,4,,1168,1255
41774,Radeon RX 5700 XT,8,,1605,1980
41775,Radeon RX 5600 XT,6,,1247,1770
41776,GeForce RTX 3080 Ti,12,,1365,1665
41777,GeForce RTX 3070 Ti,8,,1575,1845
41778,GeForce RTX 3080 Ti,12,,1365,1695
41779,Radeon RX 5600 XT,6,,1247,1620
41780,GeForce RTX 3050 8GB,8,,1550,
41781,GeForce RTX 4070 Ti SUPER,16,,2340,2655
41782,GeForce RTX 4070 Ti SUPER,16,,2340,2640
41783,Radeon RX 6800,16,,1850,2190
41784,Radeon RX 6800 XT,16,,1925,2360
41785,GeForce GTX 780 Ti,3,,1006,1072
41786,GeForce GT 730,2,,902,
41787,GeForce RTX 3080 10GB,10,,1440,1710
41788,Radeon Pro WX 9100,16,,1200,1500
41789,GeForce GT 1030 DDR4,2,,1189,1430
41790,GeForce GTX 1660 Ti,6,,1500,1830
41791,GeForce GTX 1650 G6,4,,1410,1785
41792,GeForce GTX 760,2,,980,
41793,Radeon R9 290,4,,1000,
41794,Radeon RX 480,8,,1120,1328
41795,GeForce GTX 1060 6GB,6,,1544,1759
41796,GeForce GTX 1060 3GB,3,,1556,
41797,GeForce GTX 1060 6GB,6,,1544,1759
41798,Radeon RX VEGA 56,8,,1181,1520
41799,GeForce RTX 2080,8,,1515,
41800,GeForce RTX 2060,6,,1365,1710
41801,GeForce RTX 2060,6,,1365,1680
41802,GeForce GTX 1660 SUPER,6,,1530,1785
41803,Radeon RX 5700 XT,8,,1650,1795
41804,Radeon RX 6900 XT,16,,1825,
41805,GeForce RTX 3070 Ti,8,,1575,1785
41806,GeForce RTX 3050 8GB,8,,1550,1822
41807,GeForce RTX 4060,8,,1830,2490
41808,Radeon RX 7900 GRE,16,,1270,2395
41809,GeForce RTX 2080,8,,1515,1710
41810,GeForce GTX 1080,8,,1607,1733
41811,GeForce GTX 980,4,,1190,1291
41812,GeForce GTX 1070,8,,1531,1721
41813,GeForce RTX 3080 10GB LHR,10,,1440,1755
41814,Radeon RX 6700,10,,1941,2495
41815,Radeon HD 6570,1,,480,
41816,GeForce RTX 4070 SUPER,12,,1980,2505
41817,GeForce GTX 960,2,,1216,1279
41818,GeForce GTX 980 Ti,6,,1000,1076
41819,GeForce GT 730,4,,700,
41820,Radeon RX 480,8,,1120,1325
41821,Radeon RX 580,4,,1257,1411
41822,GeForce GTX 1080,8,,1771,1911
41823,GeForce RTX 2080 Ti,11,,1350,1635
41824,GeForce RTX 2070,8,,1410,1620
41825,GeForce GTX 1070,8,,1506,1721
41826,GeForce RTX 2060 SUPER,8,,1470,1665
41827,GeForce GTX 1660 SUPER,6,,1530,1785
41828,GeForce RTX 2070,8,,1410,1620
41829,Radeon RX 580,8,,1257,1360
41830,GeForce RTX 3080 10GB,10,,1440,
41831,GeForce RTX 3090,24,,1395,
41832,Radeon RX 6800,16,,1700,2105
41833,Radeon RX 6650 XT,8,,2055,2689
41834,Radeon RX 5700 XT,8,,1605,1925
41835,GeForce RTX 4070 Ti SUPER,16,,2340,2610
41836,GeForce GTX 1080 Ti,11,,1480,1582
41837,Radeon HD 7750,1,,,
41838,GeForce RTX 2060,6,,1365,1680
41839,GeForce GT 710,2,,954,
41840,Quadro P2200,5,,1000,1493
41841,Radeon RX VEGA 56,8,,1177,1478
41842,GeForce RTX 3070 Ti,8,,1575,1890
41843,Radeon RX 5500 XT,8,,1685,1845
41844,GeForce RTX 3090,24,,1395,1695
41845,GeForce 210,0.5,,589,
41846,Radeon R9 280X,3,,850,1020
41847,GeForce GTX 960,4,,1241,1304
41848,GeForce GTX Titan X,12,,1127,1216
41849,GeForce GTX 950,2,,1165,1355
41850,Radeon R9 Fury,4,,1050,
41851,Radeon RX 480,8,,1120,1338
41852,Quadro P6000,24,,1417,1531
41853,GeForce GTX 1050,2,,1404,1518
41854,GeForce GTX 1060 6GB,6,,1506,1708
41855,GeForce RTX 2060 SUPER,8,,1470,1650
41856,GeForce RTX 2080 SUPER,8,,1650,1815
41857,GeForce RTX 2060 SUPER,8,,1470,1710
41858,GeForce RTX 2080 SUPER,8,,1815,1845
41859,GeForce RTX 2070 SUPER,8,,1605,1830
41860,GeForce RTX 2080 Ti,11,,1350,1770
41861,Radeon RX 5600 XT,6,,1235,1620
41862,Radeon RX 5600 XT,6,,1420,1750
41863,Radeon RX 6800 XT,16,,1825,2250
41864,GeForce GTX 1650 SUPER,4,,1530,1770
41865,GeForce RTX 3090,24,,1395,1725
41866,GeForce RTX 3080 Ti,12,,1365,1725
41867,GeForce RTX 3050 8GB,8,,1550,1807
41868,GeForce RTX 3050 8GB,8,,1550,1822
41869,GeForce RTX 3070,8,,1500,1755
41870,GeForce RTX 4070 Ti,12,,2310,2625
41871,GeForce RTX 3090 Ti,24,,1560,1890
41872,Arc A750,8,,2050,2200
41873,Radeon PRO W6400,4,,2331,2331
41874,Titan Xp,12,,1481,1582
41875,T1000 8GB,8,,1065,1395
41876,Radeon RX 580,8,,1257,1350
41877,GeForce RTX 2080 SUPER,8,,1650,1830
41878,Radeon RX 6950 XT,16,,1890,2324
41879,T400 4GB,4,,420,1425
41880,GeForce GTX 1080,8,,1607,1733
41881,GeForce GTX 1650 G6,4,,1410,1710
41882,GeForce RTX 3080 Ti,12,,1365,1665
41883,GeForce RTX 3070 LHR,8,,1500,1725
41884,GeForce RTX 3080 12GB LHR,12,,1260,1890
41885,Radeon R7 250,2,,1050,1100
41886,Quadro K4000,3,,810,
41887,GeForce GTX 1080,8,,1607,1733
41888,GeForce GTX 1060 3GB,3,,1506,1708
41889,Radeon RX 560 - 1024,4,,1196,1275
41890,GeForce GTX 1050,2,,1442,1569
41891,GeForce RTX 2080 SUPER,8,,1650,1815
41892,GeForce RTX 2070 SUPER,8,,1605,1770
41893,GeForce GTX 1650 SUPER,4,,1530,1815
41894,GeForce RTX 2060,6,,1365,1680
41895,GeForce RTX 2060 SUPER,8,,1470,1725
41896,GeForce RTX 3080 10GB,10,,1440,
41897,GeForce RTX 3070,8,,1500,1725
41898,GeForce RTX 3080 10GB,10,,1440,1770
41899,GeForce RTX 3070 Ti,8,,1575,1800
41900,Radeon RX 570,4,,1168,
41901,GeForce RTX 4070 Ti SUPER,16,,2340,2655
41902,GeForce RTX 3080 12GB LHR,12,,1260,1830
41903,GeForce RTX 4070,12,,1920,2535
41904,GeForce RTX 2080 Ti,11,,1350,
41905,Radeon RX 7900 XT,20,,2000,2400
41906,GeForce RTX 4060 Ti,8,,2310,2535
41907,Radeon RX 6400,4,,1923,
41908,GeForce RTX 4070,12,,1920,2490
41909,RTX A2000 6GB,6,,562,1200
41910,Radeon RX 570,8,,1168,1328
41911,GeForce RTX 2070,8,,1410,1755
41912,Quadro FX 1800,0.75,,,
41913,Quadro GV100,32,,1200,1447
41914,Radeon RX 580,4,,1366,1386
41915,GeForce RTX 2070 SUPER,8,,1605,1770
41916,Radeon R9 280X,3,,1000,1050
41917,GeForce GTX 780 Ti,3,,876,928
41918,GeForce GTX Titan Black,6,,967,1072
41919,Radeon R9 390X,8,,1050,1100
41920,Radeon R9 380,4,,985,
41921,GeForce GTX 1050 Ti,4,,1341,1455
41922,GeForce GTX 1080 Ti,11,,1480,1582
41923,Radeon RX 580,4,,1257,1393
41924,GeForce RTX 2080,8,,1710,1890
41925,GeForce RTX 2080 Ti,11,,1545,1815
41926,GeForce GTX 1660 Ti,6,,1500,1785
41927,GeForce GTX 1660 Ti,6,,1500,1800
41928,GeForce GTX 1660 SUPER,6,,1530,1785
41929,Radeon RX 5500 XT,8,,1685,1845
41930,Radeon RX 5500 XT,8,,1737,1845
41931,Radeon RX 5600 XT,6,,1247,1750
41932,GeForce RTX 2060 SUPER,8,,1470,1710
41933,GeForce GTX 1650 G5,4,,1485,1725
41934,Radeon RX 6800,16,,1700,2190
41935,GeForce RTX 3080 Ti,12,,1365,1665
41936,GeForce GTX 1650 G6,4,,1410,1590
41937,GeForce RTX 3090 Ti,24,,1560,1860
41938,Radeon RX 6950 XT,16,,1890,2324
41939,Radeon RX 6650 XT,8,,2055,
41940,GeForce RTX 2060,6,,1365,1680
41941,GeForce RTX 3060 8GB,8,,1320,1777
41942,GeForce RTX 4060,8,,1830,2670
41943,GeForce RTX 4080,16,,2205,2505
41944,FirePro W9100,16,,930,
41945,FirePro W2100,2,,630,
41946,Quadro K1200,4,,1058,1124
41947,GeForce GTX 1080 Ti,11,,1569,1683
41948,GeForce GTX 1080,8,,1607,1733
41949,Radeon RX 6900 XT,16,,2015,2365
41950,FirePro 2270,0.5,,600,
41951,RTX A5500,24,,1170,1695
41952,GeForce RTX 4080 SUPER,16,,2210,2580
41953,GeForce GTX 1080 Ti,11,,1632,1746
41954,GeForce GTX 1660 Ti,6,,1500,1890
41955,Radeon RX 590,8,,1469,1560
41956,GeForce RTX 3060 12GB,12,,1320,1792
41957,GeForce GT 710,2,,954,
41958,GeForce GTX 480,1.5,,700,
41959,GeForce GT 630,2,,810,
41960,GeForce GTX 650 Ti Boost,2,,1072,
41961,GeForce GTX 770,2,,1111,
41962,GeForce GTX 950,2,,1127,1317
41963,GeForce GTX 1060 6GB,6,,1569,1811
41964,Radeon RX 570,4,,1168,1244
41965,GeForce GTX 1080 Ti,11,,1556,1670
41966,Vega Frontier Edition,16,,1440,1600
41967,Radeon RX 570,8,,1228,1331
41968,GeForce GTX 1660,6,,1530,1785
41969,GeForce GTX 1660,6,,1530,1845
41970,Radeon RX 5700,8,,1465,1725
41971,GeForce RTX 2060,6,,1365,1680
41972,Radeon RX 5700,8,,1565,1750
41973,GeForce RTX 2080 Ti,11,,1545,
41974,GeForce RTX 2080 SUPER,8,,1650,1845
41975,GeForce RTX 2070 SUPER,8,,1605,1800
41976,GeForce RTX 3080 10GB,10,,1440,1725
41977,GeForce RTX 3060 Ti,8,,1410,1710
41978,GeForce GTX 1650 G6,4,,1410,1620
41979,GeForce RTX 3060 12GB,12,,1320,
41980,GeForce RTX 3080 Ti,12,,1365,1770
41981,GeForce RTX 3070 Ti,8,,1575,1845
41982,GeForce RTX 3050 8GB,8,,1550,1822
41983,GeForce RTX 3090 Ti,24,,1560,1935
41984,GeForce RTX 4070 Ti,12,,2310,2625
41985,GeForce GTX 1080 Ti,11,,1480,1582
41986,GeForce GTX 1070 Ti,8,,1607,1721
41987,GeForce RTX 3070 LHR,8,,1500,1920
41988,GeForce RTX 4070 Ti,12,,2310,2610
