model_no,capacity,price_per_gb,type,cache,form_factor,interface
91342,250,0.16,SSD,,M.2-2280,M.2 SATA
91343,256,0.094,SSD,,M.2-2242,M.2 PCIe 3.0 X4
91344,1000,,SSD,,2.5,SATA 6.0 Gb/s
91345,2000,0.073,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91346,256,0.234,SSD,256,M.2-2280,M.2 PCIe 3.0 X4
91347,120,,SSD,,2.5,SATA 6.0 Gb/s
91348,4000,,HDD,64,3.5,SATA 6.0 Gb/s
91349,3000,,HDD,64,3.5,SATA 6.0 Gb/s
91350,4000,,HDD,64,3.5,SATA 6.0 Gb/s
91351,240,,SSD,,M.2-2280,M.2 PCIe 2.0 X4
91352,480,,SSD,,2.5,SATA 6.0 Gb/s
91353,512,,SSD,,2.5,SATA 6.0 Gb/s
91354,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91355,240,,SSD,,2.5,SATA 6.0 Gb/s
91356,2000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91357,240,,SSD,,M.2-2280,M.2 SATA
91358,512,0.137,SSD,,M.2-2242,M.2 PCIe 3.0 X4
91359,1000,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91360,6000,,HDD,64,3.5,SATA 6.0 Gb/s
91361,2000,0.352,SSD,,2.5,SATA 6.0 Gb/s
91362,240,0.304,SSD,,2.5,SATA 6.0 Gb/s
91363,1000,,SSD,,2.5,SATA 6.0 Gb/s
91364,240,,SSD,,PCIe,PCIe x4
91365,500,,SSD,,2.5,SATA 6.0 Gb/s
91366,250,,HDD,8,3.5,SATA 1.5 Gb/s
91367,1920,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91368,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91369,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91370,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91371,6000,0.021,HDD,128,3.5,SAS 12.0 Gb/s
91372,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91373,1000,0.169,SSD,,2.5,SATA 6.0 Gb/s
91374,2000,0.06,SSD,,2.5,SATA 6.0 Gb/s
91375,2000,0.037,HDD,128,3.5,SATA 6.0 Gb/s
91376,18000,0.021,HDD,512,3.5,SAS 12.0 Gb/s
91377,1000,0.217,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91378,1000,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91379,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91380,30,,SSD,,2.5,SATA 6.0 Gb/s
91381,512,0.074,SSD,,2.5,SATA 6.0 Gb/s
91382,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91383,120,0.558,SSD,,2.5,SATA 6.0 Gb/s
91384,250,0.196,SSD,,2.5,SATA 6.0 Gb/s
91385,3000,,HDD,64,3.5,SATA 6.0 Gb/s
91386,500,,HDD,64,3.5,SATA 6.0 Gb/s
91387,512,0.399,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91388,250,,SSD,,M.2-2280,M.2 SATA
91389,240,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91390,2000,,SSD,,2.5,SATA 6.0 Gb/s
91391,2000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91392,250,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91393,2000,0.032,HDD,64,3.5,SATA 6.0 Gb/s
91394,4000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91395,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91396,4000,,HDD,64,3.5,SATA 6.0 Gb/s
91397,1000,0.038,HDD,8,2.5,SATA 3.0 Gb/s
91398,128,0.615,SSD,,M.2-2280,M.2 PCIe 3.0 X2
91399,256,0.098,SSD,,2.5,SATA 6.0 Gb/s
91400,1000,0.1,HDD,32,3.5,SATA 6.0 Gb/s
91401,500,0.174,SSD,,2.5,SATA 6.0 Gb/s
91402,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91403,8000,0.113,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91404,2000,0.314,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91405,4000,0.112,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91406,6000,0.039,HDD,128,3.5,SATA 6.0 Gb/s
91407,12000,0.029,HDD,256,3.5,SATA 6.0 Gb/s
91408,4000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91409,500,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91410,240,0.321,SSD,,2.5,SATA 6.0 Gb/s
91411,1000,0.076,HDD,32,3.5,SATA 3.0 Gb/s
91412,8000,0.135,SSD,,2.5,SATA 6.0 Gb/s
91413,500,0.145,HDD,16,3.5,SATA 3.0 Gb/s
91414,80,,HDD,2,3.5,SATA 3.0 Gb/s
91415,256,,SSD,,M.2-2280,M.2 SATA
91416,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91417,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91418,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91419,16000,,HDD,256,3.5,SAS 12.0 Gb/s
91420,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91421,8000,0.022,HDD,256,3.5,SATA 6.0 Gb/s
91422,2000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91423,1920,0.052,SSD,,2.5,SATA 6.0 Gb/s
91424,14000,0.022,HDD,512,3.5,SATA 6.0 Gb/s
91425,3000,0.026,HDD,256,3.5,SATA 6.0 Gb/s
91426,2000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91427,10000,0.023,HDD,256,3.5,SATA 6.0 Gb/s
91428,2000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91429,240,0.134,SSD,,2.5,SATA 6.0 Gb/s
91430,4000,0.036,HDD,128,3.5,SATA 6.0 Gb/s
91431,2000,0.037,HDD,256,3.5,SATA 6.0 Gb/s
91432,1000,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91433,1000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91434,1000,0.131,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91435,512,0.116,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91436,160,0.144,HDD,8,2.5,SATA 3.0 Gb/s
91437,250,0.12,HDD,8,2.5,SATA 3.0 Gb/s
91438,2000,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91439,500,0.063,5900,16,3.5,SATA 3.0 Gb/s
91440,2000,,5900,64,3.5,SATA 6.0 Gb/s
91441,7680,,SSD,,2.5,SATA 6.0 Gb/s
91442,2000,,HDD,64,3.5,SATA 3.0 Gb/s
91443,128,,SSD,256,M.2-2280,M.2 PCIe 3.0 X4
91444,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91445,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91446,12000,,HDD,256,3.5,SATA 6.0 Gb/s
91447,512,,SSD,,2.5,SATA 6.0 Gb/s
91448,1000,0.152,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91449,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91450,240,0.117,SSD,,2.5,SATA 6.0 Gb/s
91451,1024,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91452,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91453,256,0.097,SSD,,2.5,SATA 6.0 Gb/s
91454,10000,0.02,HDD,256,3.5,SATA 6.0 Gb/s
91455,4000,0.08,SSD,,2.5,SATA 6.0 Gb/s
91456,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91457,250,0.293,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91458,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91459,14000,0.023,HDD,512,3.5,SATA 6.0 Gb/s
91460,4000,0.032,HDD,128,3.5,SATA 6.0 Gb/s
91461,240,0.179,SSD,,2.5,SATA 6.0 Gb/s
91462,500,0.15,10000,64,3.5,SATA 6.0 Gb/s
91463,2000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91464,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91465,2000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91466,1000,0.1,HDD,32,3.5,SATA 3.0 Gb/s
91467,256,,SSD,,2.5,SATA 6.0 Gb/s
91468,500,,HDD,,2.5,SATA 6.0 Gb/s
91469,240,0.13,SSD,,M.2-2280,M.2 SATA
91470,128,,SSD,,2.5,SATA 6.0 Gb/s
91471,120,,SSD,,2.5,SATA 6.0 Gb/s
91472,1500,,SSD,,PCIe,PCIe x4
91473,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91474,12000,0.026,HDD,,3.5,SATA 6.0 Gb/s
91475,1000,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
91476,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91477,4000,0.059,HDD,128,3.5,SATA 6.0 Gb/s
91478,1000,0.09,SSD,,M.2-2280,M.2 SATA
91479,4000,0.032,HDD,256,3.5,SATA 6.0 Gb/s
91480,1000,0.086,HDD,128,3.5,SATA 6.0 Gb/s
91481,6000,0.032,HDD,256,3.5,SATA 6.0 Gb/s
91482,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91483,10000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
91484,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91485,3000,0.056,HDD,64,3.5,SATA 3.0 Gb/s
91486,6000,0.025,HDD,256,3.5,SATA 6.0 Gb/s
91487,256,0.132,SSD,,2.5,SATA 6.0 Gb/s
91488,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91489,320,0.062,HDD,16,2.5,SATA 6.0 Gb/s
91490,15360,,SSD,,2.5,SAS 12.0 Gb/s
91491,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91492,1000,0.103,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91493,8000,,HDD,,3.5,SATA 6.0 Gb/s
91494,1000,,SSD,,PCIe,PCIe x4
91495,256,0.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91496,2000,,HDD,32,3.5,SATA 3.0 Gb/s
91497,256,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
91498,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91499,512,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
91500,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91501,256,,SSD,,2.5,SATA 6.0 Gb/s
91502,1000,,SSD,,M.2-2242,M.2 PCIe 3.0 X4
91503,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91504,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91505,2000,0.117,SSD,,M.2-2280,M.2 PCIe 5.0 X4
91506,6000,0.023,HDD,256,3.5,SATA 6.0 Gb/s
91507,2000,0.051,SSD,,2.5,SATA 6.0 Gb/s
91508,4000,0.105,SSD,,2.5,SATA 6.0 Gb/s
91509,2000,0.085,SSD,,M.2-2280,M.2 SATA
91510,480,0.106,SSD,,M.2-2280,M.2 SATA
91511,1500,0.047,HDD,64,3.5,SATA 3.0 Gb/s
91512,500,,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
91513,512,0.072,SSD,,M.2-2280,M.2 SATA
91514,80,0.35,HDD,8,2.5,SATA 3.0 Gb/s
91515,2000,0.2,SSD,4096,M.2-2280,M.2 PCIe 4.0 X8
91516,250,0.206,HDD,8,3.5,SATA 3.0 Gb/s
91517,8000,0.029,HDD,256,3.5,SATA 6.0 Gb/s
91518,1000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91519,7680,0.148,SSD,,2.5,SATA 6.0 Gb/s
91520,2000,0.061,HDD,64,3.5,SATA 6.0 Gb/s
91521,64,0.75,SSD,,2.5,SATA 6.0 Gb/s
91522,1000,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91523,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91524,4000,,HDD,128,3.5,SATA 6.0 Gb/s
91525,750,,SSD,,2.5,SATA 6.0 Gb/s
91526,256,0.105,SSD,,2.5,SATA 6.0 Gb/s
91527,12000,,HDD,256,3.5,SATA 6.0 Gb/s
91528,2000,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
91529,240,,SSD,,2.5,SATA 6.0 Gb/s
91530,8000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91531,600,0.03,10500,64,2.5,SAS 6.0 Gb/s
91532,1000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91533,8000,0.025,HDD,256,3.5,SATA 6.0 Gb/s
91534,2000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91535,2000,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91536,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91537,2000,0.15,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91538,8000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
91539,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91540,4000,0.022,HDD,128,3.5,SATA 6.0 Gb/s
91541,512,0.101,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91542,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91543,500,0.072,HDD,16,3.5,SATA 3.0 Gb/s
91544,12000,0.019,HDD,256,3.5,SATA 6.0 Gb/s
91545,256,0.105,SSD,,2.5,SATA 6.0 Gb/s
91546,1000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91547,250,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91548,4000,0.112,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91549,320,,HDD,8,3.5,SATA 3.0 Gb/s
91550,320,0.169,HDD,16,3.5,SATA 6.0 Gb/s
91551,128,1.281,SSD,,M.2-2280,M.2 SATA
91552,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91553,1000,0.129,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91554,960,0.081,SSD,,2.5,SATA 6.0 Gb/s
91555,240,,SSD,,2.5,SATA 6.0 Gb/s
91556,5000,,HDD,128,3.5,SATA 6.0 Gb/s
91557,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91558,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91559,256,,SSD,,2.5,SATA 6.0 Gb/s
91560,960,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91561,960,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
91562,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91563,1000,,SSD,,2.5,SATA 6.0 Gb/s
91564,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91565,16000,0.017,HDD,512,3.5,SAS 12.0 Gb/s
91566,256,0.156,SSD,,M.2-2230,M.2 PCIe 4.0 X4
91567,7680,0.092,SSD,,2.5,U.2
91568,10000,0.025,HDD,256,3.5,SATA 6.0 Gb/s
91569,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91570,2000,0.095,SSD,,M.2-2242,M.2 PCIe 4.0 X4
91571,500,,SSD,,2.5,SATA 6.0 Gb/s
91572,10000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
91573,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91574,5000,0.034,HDD,128,3.5,SATA 6.0 Gb/s
91575,250,0.365,SSD,,2.5,SATA 6.0 Gb/s
91576,1000,0.081,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91577,2000,0.036,HDD,64,3.5,SATA 6.0 Gb/s
91578,960,0.236,SSD,,2.5,SATA 6.0 Gb/s
91579,1500,0.059,HDD,32,3.5,SATA 3.0 Gb/s
91580,512,0.486,SSD,,M.2-2280,M.2 SATA
91581,250,0.28,SSD,,2.5,SATA 6.0 Gb/s
91582,1000,0.86,SSD,,M.2-2280,M.2 SATA
91583,512,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91584,1000,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91585,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91586,500,0.141,HDD,32,3.5,SATA 3.0 Gb/s
91587,120,,SSD,,2.5,SATA 6.0 Gb/s
91588,256,,SSD,,2.5,SATA 6.0 Gb/s
91589,8000,0.039,HDD,128,3.5,SATA 6.0 Gb/s
91590,2000,,HDD,64,3.5,SATA 6.0 Gb/s
91591,240,,SSD,,2.5,SATA 6.0 Gb/s
91592,32,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
91593,2000,0.113,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91594,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91595,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91596,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91597,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91598,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91599,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91600,18000,0.019,HDD,512,3.5,SATA 6.0 Gb/s
91601,3000,,HDD,64,3.5,SATA 6.0 Gb/s
91602,3000,0.023,HDD,128,3.5,SATA 6.0 Gb/s
91603,2000,0.069,HDD,128,2.5,SATA 6.0 Gb/s
91604,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91605,460,2.163,SSD,,3.5,SATA 3.0 Gb/s
91606,10000,0.021,HDD,256,3.5,SATA 6.0 Gb/s
91607,2000,0.054,SSD,,M.2-2280,M.2 SATA
91608,512,0.084,SSD,,M.2-2242,M.2 PCIe 3.0 X4
91609,2000,0.042,HDD,64,3.5,SATA 6.0 Gb/s
91610,500,,SSD,,2.5,SATA 6.0 Gb/s
91611,10000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
91612,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91613,1000,0.112,HDD,32,3.5,SATA 3.0 Gb/s
91614,3000,0.076,HDD,64,3.5,SATA 3.0 Gb/s
91615,380,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
91616,240,0.7,SSD,,2.5,SATA 6.0 Gb/s
91617,2050,0.131,SSD,,2.5,SATA 6.0 Gb/s
91618,2000,0.149,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91619,4000,,SSD,,2.5,SATA 6.0 Gb/s
91620,8000,0.033,HDD,256,3.5,SATA 6.0 Gb/s
91621,300,0.318,10000,16,3.5,SATA 3.0 Gb/s
91622,128,,SSD,,2.5,SATA 6.0 Gb/s
91623,240,,SSD,,2.5,SATA 6.0 Gb/s
91624,1000,,,64,2.5,SATA 6.0 Gb/s
91625,120,,SSD,,2.5,SATA 6.0 Gb/s
91626,5000,,HDD,128,3.5,SATA 6.0 Gb/s
91627,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91628,2000,,HDD,128,3.5,SATA 6.0 Gb/s
91629,960,,SSD,,2.5,SATA 6.0 Gb/s
91630,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91631,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91632,3000,0.032,HDD,256,3.5,SATA 6.0 Gb/s
91633,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91634,18000,0.017,HDD,256,3.5,SAS 12.0 Gb/s
91635,12000,0.022,HDD,256,3.5,SATA 6.0 Gb/s
91636,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91637,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91638,18000,0.019,HDD,512,3.5,SATA 6.0 Gb/s
91639,2000,0.049,HDD,128,3.5,SATA 6.0 Gb/s
91640,1000,0.078,HDD,128,3.5,SATA 6.0 Gb/s
91641,3000,0.029,HDD,64,3.5,SATA 6.0 Gb/s
91642,1000,,SSD,,2.5,SATA 6.0 Gb/s
91643,256,,SSD,,2.5,SATA 6.0 Gb/s
91644,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91645,1000,0.051,HDD,64,3.5,SATA 6.0 Gb/s
91646,4000,0.204,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91647,2000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91648,2000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
91649,512,0.103,SSD,,M.2-2242,M.2 PCIe 4.0 X4
91650,500,0.3,HDD,8,2.5,SATA 3.0 Gb/s
91651,8000,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91652,3000,0.027,HDD,256,3.5,SATA 6.0 Gb/s
91653,5000,0.022,HDD,128,3.5,SATA 6.0 Gb/s
91654,512,,SSD,,M.2-2280,M.2 SATA
91655,512,0.149,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91656,512,0.107,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91657,1500,,HDD,64,3.5,SATA 6.0 Gb/s
91658,200,,SSD,,2.5,SATA 6.0 Gb/s
91659,500,,SSD,,2.5,SATA 6.0 Gb/s
91660,4000,,,64,3.5,SATA 6.0 Gb/s
91661,240,,SSD,,2.5,SATA 6.0 Gb/s
91662,8000,,HDD,256,3.5,SATA 6.0 Gb/s
91663,120,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91664,512,,SSD,,2.5,SATA 6.0 Gb/s
91665,240,,SSD,,2.5,SATA 6.0 Gb/s
91666,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
91667,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
91668,250,,SSD,,2.5,SATA 6.0 Gb/s
91669,900,,SSD,24576,M.2-2280,M.2 PCIe 3.0 X4
91670,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91671,16000,,HDD,256,3.5,SATA 6.0 Gb/s
91672,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91673,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91674,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91675,2000,0.091,SSD,,2.5,SATA 6.0 Gb/s
91676,16000,0.019,HDD,256,3.5,SATA 6.0 Gb/s
91677,20000,0.021,HDD,512,3.5,SATA 6.0 Gb/s
91678,500,0.057,HDD,128,2.5,SATA 6.0 Gb/s
91679,1000,0.1,SSD,,M.2-2230,M.2 PCIe 4.0 X4
91680,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91681,500,0.796,SSD,,M.2-2260,M.2 SATA
91682,10000,0.024,HDD,512,3.5,SATA 6.0 Gb/s
91683,400,1.224,SSD,,PCIe,PCIe x4
91684,12000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
91685,8000,,HDD,256,3.5,SATA 6.0 Gb/s
91686,512,0.135,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91687,3000,,HDD,64,3.5,SATA 6.0 Gb/s
91688,250,0.356,SSD,,M.2-2280,M.2 PCIe 3.0 X2
91689,6000,0.033,HDD,256,3.5,SATA 6.0 Gb/s
91690,1000,0.09,5700,64,3.5,SATA 6.0 Gb/s
91691,160,,HDD,8,3.5,SATA 3.0 Gb/s
91692,500,,HDD,16,3.5,SATA 3.0 Gb/s
91693,2000,0.059,5900,32,3.5,SATA 3.0 Gb/s
91694,120,,SSD,,2.5,SATA 6.0 Gb/s
91695,240,0.829,SSD,,2.5,SATA 6.0 Gb/s
91696,128,,SSD,,2.5,SATA 6.0 Gb/s
91697,6000,,HDD,128,3.5,SATA 6.0 Gb/s
91698,240,,SSD,,2.5,SATA 6.0 Gb/s
91699,800,,SSD,,PCIe,PCIe x4
91700,128,,SSD,,2.5,SATA 6.0 Gb/s
91701,1000,,SSD,,2.5,SATA 6.0 Gb/s
91702,480,0.229,SSD,,2.5,SATA 6.0 Gb/s
91703,960,,SSD,,PCIe,PCIe x4
91704,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91705,256,0.175,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91706,240,,SSD,,2.5,SATA 6.0 Gb/s
91707,1000,0.101,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91708,512,0.135,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91709,8000,0.022,HDD,256,3.5,SATA 6.0 Gb/s
91710,10000,0.019,HDD,256,3.5,SATA 6.0 Gb/s
91711,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91712,1000,0.108,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91713,500,0.178,,,2.5,SATA 6.0 Gb/s
91714,2000,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91715,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91716,1000,0.097,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91717,2000,0.204,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91718,2000,,HDD,128,3.5,SATA 6.0 Gb/s
91719,2000,,HDD,64,3.5,SATA 6.0 Gb/s
91720,2000,,HDD,128,3.5,SATA 6.0 Gb/s
91721,3840,0.204,SSD,,2.5,SATA 6.0 Gb/s
91722,4096,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91723,1000,,HDD,64,3.5,SATA 3.0 Gb/s
91724,80,1.113,HDD,8,2.5,SATA 1.5 Gb/s
91725,500,0.236,HDD,16,3.5,SATA 3.0 Gb/s
91726,128,,SSD,,2.5,SATA 6.0 Gb/s
91727,1000,,HDD,8,2.5,SATA 6.0 Gb/s
91728,120,,SSD,,2.5,SATA 6.0 Gb/s
91729,3000,0.053,HDD,64,3.5,SAS 6.0 Gb/s
91730,3000,,HDD,64,3.5,SATA 6.0 Gb/s
91731,500,,SSD,,2.5,SATA 6.0 Gb/s
91732,480,,SSD,,2.5,SATA 6.0 Gb/s
91733,240,,SSD,,M.2-2280,M.2 SATA
91734,10000,,HDD,256,3.5,SATA 6.0 Gb/s
91735,500,,HDD,16,2.5,SATA 3.0 Gb/s
91736,4000,0.028,HDD,128,3.5,SATA 6.0 Gb/s
91737,480,0.154,SSD,,2.5,SATA 6.0 Gb/s
91738,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91739,120,0.245,SSD,,2.5,SATA 6.0 Gb/s
91740,2000,0.194,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91741,250,0.17,SSD,,2.5,SATA 6.0 Gb/s
91742,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91743,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91744,1000,0.08,SSD,,M.2-2230,M.2 PCIe 4.0 X4
91745,2000,0.086,SSD,,2.5,U.2
91746,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91747,2000,0.234,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91748,4000,0.108,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91749,500,0.156,SSD,,M.2-2230,M.2 PCIe 4.0 X4
91750,3000,0.034,HDD,64,3.5,SATA 6.0 Gb/s
91751,4000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91752,4000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91753,1000,0.262,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91754,3000,0.077,HDD,128,2.5,SATA 6.0 Gb/s
91755,256,0.156,SSD,,2.5,SATA 6.0 Gb/s
91756,480,0.067,SSD,,2.5,SATA 6.0 Gb/s
91757,960,0.196,SSD,,2.5,SATA 6.0 Gb/s
91758,2000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91759,4000,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
91760,1000,0.063,HDD,32,3.5,SATA 3.0 Gb/s
