model_no,core_count,core_clock,boost_clock,graphics,socket
30158,4,3.6,,Intel UHD Graphics 630,
30159,4,3.3,3.7,Intel HD Graphics 4600,
30160,6,3.6,4,,
30161,14,2.4,3.3,,
30162,8,3.6,5,,
30163,8,4,,,
30164,4,3.5,3.9,Intel HD Graphics 4600,
30165,4,3.8,4.2,Intel HD Graphics 630,
30166,6,3,4.1,Intel UHD Graphics 630,
30167,8,4,5,Intel UHD Graphics 630,
30168,24,2,5.6,Intel UHD Graphics 770,
30169,4,3.4,4.5,Intel UHD Graphics 730,
30170,8,3.6,4.4,,
30171,2,3.4,,Intel HD Graphics 4400,
30172,4,3.2,3.4,Intel HD Graphics 4600,
30173,2,3.9,,Radeon HD 8470D,
30174,8,3.4,3.8,,
30175,4,3.2,3.4,,
30176,6,3.9,4.9,,
30177,4,3.1,3.4,,
30178,8,3.6,4.9,,
30179,4,3.8,4.3,,
30180,6,2.9,4.1,Intel UHD Graphics 630,
30181,8,3.9,4.7,,
30182,18,3,4.8,,
30183,12,3.8,4.7,,
30184,8,3.8,4,,
30185,6,3.8,4.5,,
30186,4,3.2,,Intel HD Graphics 4600,
30187,2,4.2,,Intel HD Graphics 630,
30188,6,3.5,,,
30189,4,3.7,4.4,Intel UHD Graphics 630,
30190,6,3.7,4.6,,
30191,10,2.8,5.2,,
30192,4,2.7,3.3,Intel HD Graphics 530,
30193,2,3.5,,Radeon Vega 3,
30194,6,3.6,4.2,,
30195,6,3.6,4.1,,
30196,24,2,5.6,,
30197,8,3.6,4,,
30198,4,3.5,3.7,,
30199,4,3.1,,Intel HD Graphics 2000,
30200,32,3,4.2,,
30201,4,3.4,,Intel HD Graphics 2000,
30202,4,3.4,,Intel HD Graphics 4600,
30203,2,3.9,,Intel HD Graphics 630,
30204,4,4,4.4,Intel HD Graphics 4600,
30205,2,3.9,,Intel UHD Graphics 710,
30206,6,2.3,,,
30207,8,2.5,5.2,,
30208,6,3.7,4.7,Intel UHD Graphics 630,
30209,4,3.4,,Intel HD Graphics 3000,
30210,4,3.4,,Intel HD Graphics 4000,
30211,16,2.1,3,,
30212,4,3.5,4.1,Intel HD Graphics 630,
30213,2,3.7,,Intel HD Graphics 530,
30214,6,3.1,4.5,Intel UHD Graphics 630,
30215,12,3.7,5.4,Radeon,
30216,12,3.5,4,,
30217,2,2.8,,,
30218,4,3.4,,Intel HD Graphics 2500,
30219,4,3.3,3.9,Intel HD Graphics 530,
30220,6,3.4,3.6,,
30221,2,3.1,,Intel UHD Graphics 610,
30222,8,3.2,3.7,,
30223,4,3.6,4,Radeon Vega 8,
30224,6,3.3,4.8,Intel UHD Graphics 770,
30225,2,3.7,,Intel UHD Graphics 710,
30226,6,3.3,3.6,,
30227,4,3.3,,Intel HD Graphics 3000,
30228,2,2.8,,Intel HD Graphics,
30229,8,3.6,5,Intel UHD Graphics 630,
30230,6,2.8,4.8,Intel UHD Graphics 750,
30231,4,3.5,3.8,,
30232,2,3,,,
30233,6,2.9,4.1,,
30234,6,3.4,3.9,,
30235,16,3.4,4,,
30236,12,2.2,2.9,,
30237,16,2.4,5.1,,
30238,6,3,4.4,Intel UHD Graphics 630,
30239,8,2.6,3.4,,
30240,2,3.2,,Intel UHD Graphics 610,
30241,10,3.7,4.7,,
30242,4,3.6,4.2,Intel UHD Graphics 630,
30243,2,1.45,,Radeon HD 8240,
30244,2,3.5,,Intel HD Graphics 4400,
30245,10,2.8,5.2,Intel UHD Graphics 630,
30246,16,2.4,5.1,Intel UHD Graphics 770,
30247,16,2.8,4.4,,
30248,1,1.6,,,
30249,16,3.5,4.4,,
