model_no,type,psu,side_panel,external_volume,internal_35_bays
14602,ATX Full Tower,ATX,Acrylic,,6
14603,ATX Mid Tower,ATX,Acrylic,,2
14604,ATX Mid Tower,ATX,Acrylic,40.1,3
14605,ATX Mid Tower,ATX,Tempered Glass,,2
14606,ATX Mid Tower,ATX,Tempered Glass,,2
14607,ATX Mid Tower,ATX,Tempered Glass,,3
14608,ATX Mid Tower,ATX,Tempered Glass,,3
14609,ATX Mid Tower,ATX,Tempered Glass,,3
14610,ATX Mid Tower,ATX,Tempered Glass,,3
14611,ATX Mid Tower,ATX,Acrylic,,2
14612,ATX Mid Tower,ATX,,56.7,6
14613,ATX Mid Tower,ATX,Tempered Glass,,2
