model_no,type,psu,side_panel,external_volume,internal_35_bays
15448,ATX Mid Tower,ATX,Acrylic,,5
15449,MicroATX Mini Tower,ATX,Acrylic,41.5,2
15450,MicroATX Mini Tower,ATX,,41.5,2
15451,MicroATX Mini Tower,ATX,,41.5,2
15452,MicroATX Mini Tower,ATX,,41.5,2
15453,MicroATX Mini Tower,ATX,,41.5,2
15454,MicroATX Mini Tower,ATX,,41.5,2
15455,MicroATX Mini Tower,ATX,Acrylic,41.5,2
15456,MicroATX Mini Tower,ATX,Acrylic,41.5,2
15457,MicroATX Mini Tower,ATX,,,6
15458,ATX Full Tower,ATX,,,11
15459,MicroATX Mini Tower,ATX,Acrylic,35.5,3
15460,MicroATX Mini Tower,ATX,Acrylic,35.5,3
15461,ATX Mid Tower,ATX,Acrylic,31.6,5
15462,ATX Mid Tower,ATX,Tempered Glass,,3
15463,ATX Mid Tower,ATX,,37.2,3
15464,ATX Mid Tower,ATX,,37.2,3
15465,ATX Mid Tower,ATX,,43.4,4
15466,ATX Mid Tower,ATX,,43.4,4
15467,Mini ITX Tower,SFX,,15.4,2
15468,Mini ITX Tower,SFX,Acrylic,15.4,2
15469,MicroATX Mid Tower,ATX,,26.6,2
15470,ATX Mid Tower,ATX,,32.4,2
15471,MicroATX Mini Tower,ATX,Acrylic,20.1,2
15472,Mini ITX Tower,SFX,,10,1
15473,MicroATX Mini Tower,ATX,,18.3,3
15474,ATX Mid Tower,ATX,Acrylic,42.4,3
15475,ATX Mid Tower,ATX,,55.4,6
15476,ATX Mid Tower,ATX,Acrylic,38.3,3
15477,ATX Mid Tower,ATX,Acrylic,,6
15478,ATX Mid Tower,ATX,,33.6,6
15479,ATX Mid Tower,ATX,,57,7
15480,ATX Mid Tower,ATX,,54.8,0
15481,ATX Mid Tower,ATX,Acrylic,42.8,0
15482,ATX Mid Tower,ATX,Acrylic,,6
15483,ATX Mid Tower,ATX,Acrylic,42.9,3
15484,ATX Mid Tower,ATX,,,6
15485,MicroATX Mini Tower,ATX,Acrylic,,2
15486,MicroATX Mini Tower,ATX,Acrylic,,2
15487,MicroATX Mini Tower,ATX,Acrylic,,2
15488,MicroATX Mini Tower,ATX,Acrylic,,2
15489,MicroATX Mini Tower,ATX,Acrylic,,2
15490,MicroATX Mini Tower,ATX,Acrylic,,2
15491,ATX Mid Tower,ATX,,37.3,4
15492,ATX Mid Tower,ATX,,37.6,4
15493,ATX Mid Tower,ATX,,37,3
15494,ATX Mid Tower,ATX,,37,3
